student_id,Digital Logic Design (DLD)_mark,lag_Digital Logic Design (DLD),Electrical and Electronics Engineering (EEE)_mark,lag_Electrical and Electronics Engineering (EEE),Engineering Graphics_mark,lag_Engineering Graphics,Engineering Physics_mark,lag_Engineering Physics,Engineering Mathematics – II_mark,lag_Engineering Mathematics – II
100,26.58,0,4.37,1,5.93,1,8.97,1,13.79,1
101,26.05,0,17.53,0,17.84,0,28.48,0,27.34,0
102,3.03,1,16.22,0,22.58,0,27.96,0,1.09,1
103,20.63,0,6.78,1,24.08,0,1.88,1,25.18,0
104,3.09,1,29.99,0,27.41,0,23.27,0,17.36,0
105,10.11,1,23.34,0,11.68,1,25.2,0,29.71,0
106,25.73,0,5.2,1,26.38,0,14.17,1,23.23,0
107,11.75,1,6.52,1,29.88,0,16.5,0,7.35,1
108,1.7,1,28.89,0,22.72,0,17.57,0,15.76,0
109,26.6,0,4.83,1,18.99,0,10.33,1,0.44,1
110,29.88,0,22.89,0,12.03,1,24.11,0,3.21,1
111,18.78,0,8.37,1,20.79,0,21.52,0,16.27,0
112,12.15,1,20.3,0,16.83,0,20.08,0,2.49,1
113,13.45,1,11.69,1,16.52,0,9.7,1,16.53,0
114,24.9,0,9.64,1,23.7,0,13.59,1,3.21,1
115,5.28,1,2.76,1,28.3,0,10.85,1,5.47,1
116,6.1,1,25.07,0,1.94,1,21.06,0,27.94,0
117,27.33,0,17.52,0,10.54,1,4.23,1,8.18,1
118,6.78,1,22.05,0,2.94,1,26.89,0,11.09,1
119,11.9,1,16.41,0,8.24,1,18.03,0,17.28,0
120,20.54,0,24.87,0,12.78,1,5.83,1,12.9,1
121,16.53,0,23.22,0,8.24,1,18.38,0,29.93,0
122,19.03,0,12.77,1,14.48,1,2.14,1,24.19,0
123,13.97,1,6.69,1,1.22,1,14.11,1,21.67,0
124,18.4,0,21.08,0,3.77,1,23.28,0,18.49,0
125,10.0,1,22.41,0,11.68,1,16.75,0,8.2,1
126,0.51,1,13.34,1,17.72,0,22.39,0,29.02,0
127,7.53,1,1.45,1,4.65,1,13.56,1,22.96,0
128,2.54,1,9.2,1,7.31,1,20.05,0,15.92,0
129,2.28,1,15.49,0,17.62,0,11.07,1,3.47,1
130,22.48,0,20.68,0,11.62,1,19.99,0,20.44,0
131,24.66,0,12.61,1,13.19,1,7.6,1,12.22,1
132,21.73,0,25.59,0,6.24,1,18.98,0,8.77,1
133,23.44,0,3.2,1,26.71,0,12.91,1,0.98,1
134,28.2,0,26.88,0,7.49,1,27.52,0,5.71,1
135,19.17,0,10.24,1,3.59,1,29.78,0,19.22,0
136,28.2,0,18.64,0,24.24,0,10.54,1,13.68,1
137,26.6,0,10.58,1,26.16,0,20.55,0,21.73,0
138,1.68,1,7.98,1,14.73,1,3.16,1,1.0,1
139,2.94,1,26.45,0,9.12,1,3.1,1,18.02,0
140,26.48,0,10.5,1,29.38,0,8.35,1,9.9,1
141,0.91,1,27.87,0,8.71,1,9.92,1,23.74,0
142,7.39,1,21.99,0,4.09,1,27.95,0,2.48,1
143,4.21,1,4.07,1,26.68,0,17.73,0,0.98,1
144,4.02,1,4.35,1,19.22,0,29.25,0,15.72,0
145,12.51,1,11.08,1,20.27,0,6.24,1,21.93,0
146,12.69,1,18.91,0,8.84,1,22.01,0,17.76,0
147,20.47,0,29.95,0,23.26,0,9.58,1,25.42,0
148,10.16,1,26.75,0,26.96,0,27.62,0,17.41,0
149,25.78,0,29.3,0,14.69,1,29.33,0,5.33,1
150,9.09,1,19.02,0,18.08,0,11.62,1,17.15,0
151,4.93,1,7.16,1,2.63,1,22.47,0,7.21,1
152,27.15,0,8.87,1,4.95,1,19.32,0,10.76,1
153,3.63,1,13.41,1,6.26,1,14.31,1,7.33,1
154,19.3,0,27.5,0,25.18,0,20.87,0,23.23,0
155,21.67,0,10.18,1,24.06,0,0.02,1,26.13,0
156,23.26,0,3.36,1,8.0,1,5.84,1,3.08,1
157,27.54,0,27.25,0,1.54,1,4.77,1,11.07,1
158,15.17,0,14.61,1,0.78,1,28.45,0,8.59,1
159,1.7,1,10.02,1,16.65,0,10.28,1,21.39,0
160,27.14,0,16.98,0,6.43,1,19.16,0,21.29,0
161,29.0,0,19.01,0,17.37,0,0.55,1,12.92,1
162,7.57,1,2.14,1,9.73,1,27.78,0,8.56,1
163,22.05,0,20.3,0,27.18,0,15.23,0,11.48,1
164,18.43,0,17.11,0,12.71,1,17.2,0,4.96,1
165,24.38,0,18.34,0,22.91,0,2.85,1,25.93,0
166,24.52,0,0.15,1,1.82,1,23.46,0,6.34,1
167,28.11,0,13.1,1,21.29,0,15.0,0,25.44,0
168,6.29,1,20.91,0,4.14,1,16.24,0,25.74,0
169,24.4,0,20.29,0,9.37,1,19.33,0,6.43,1
170,3.73,1,23.6,0,17.25,0,15.13,0,2.16,1
171,5.08,1,5.31,1,8.55,1,27.47,0,12.39,1
172,14.61,1,16.92,0,15.81,0,16.49,0,19.93,0
173,26.0,0,22.66,0,6.64,1,22.81,0,2.89,1
174,22.95,0,23.83,0,17.18,0,10.11,1,2.88,1
175,15.72,0,20.84,0,25.2,0,22.41,0,13.01,1
176,2.45,1,1.1,1,15.12,0,8.24,1,7.97,1
177,11.41,1,12.77,1,25.68,0,9.93,1,24.43,0
178,26.92,0,13.46,1,14.93,1,7.77,1,15.57,0
179,5.45,1,4.9,1,26.03,0,21.74,0,17.45,0
180,22.76,0,19.41,0,25.83,0,16.16,0,2.28,1
181,22.4,0,20.97,0,18.73,0,18.93,0,23.91,0
182,21.49,0,1.97,1,5.97,1,23.64,0,25.29,0
183,22.84,0,22.44,0,6.81,1,7.49,1,19.75,0
184,15.63,0,12.02,1,0.57,1,24.52,0,25.48,0
185,5.88,1,7.53,1,1.67,1,22.38,0,5.34,1
186,21.77,0,10.25,1,10.38,1,29.01,0,5.81,1
187,5.64,1,19.12,0,26.9,0,16.55,0,17.07,0
188,22.35,0,0.05,1,5.05,1,23.55,0,6.93,1
189,25.34,0,29.65,0,9.36,1,10.67,1,2.28,1
190,23.41,0,0.78,1,25.58,0,23.1,0,29.08,0
191,13.48,1,25.02,0,25.11,0,1.09,1,14.5,1
192,4.4,1,23.87,0,5.45,1,12.25,1,6.52,1
193,5.42,1,9.49,1,0.91,1,11.16,1,1.14,1
194,2.29,1,29.56,0,1.44,1,24.43,0,20.9,0
195,29.09,0,5.83,1,10.89,1,26.61,0,18.78,0
196,13.54,1,13.97,1,5.22,1,17.27,0,1.14,1
197,27.65,0,18.45,0,3.63,1,4.52,1,7.17,1
198,27.04,0,19.25,0,18.95,0,21.88,0,0.05,1
199,1.59,1,29.37,0,1.13,1,15.64,0,27.3,0
200,5.68,1,25.6,0,20.92,0,23.86,0,17.7,0
201,17.37,0,18.92,0,0.07,1,23.63,0,14.05,1
202,20.68,0,9.0,1,15.43,0,4.19,1,17.53,0
203,7.32,1,5.05,1,1.71,1,29.71,0,17.85,0
204,20.66,0,10.71,1,25.19,0,11.19,1,13.01,1
205,26.22,0,0.72,1,0.83,1,3.96,1,15.77,0
206,25.58,0,13.85,1,0.59,1,21.61,0,20.75,0
207,2.97,1,16.1,0,8.45,1,0.59,1,21.28,0
208,24.18,0,2.31,1,1.24,1,19.04,0,16.83,0
209,0.56,1,8.88,1,12.35,1,14.49,1,3.27,1
210,0.02,1,9.06,1,24.19,0,16.83,0,20.72,0
211,16.87,0,27.91,0,4.09,1,8.69,1,21.15,0
212,2.65,1,21.03,0,13.91,1,16.83,0,23.3,0
213,2.07,1,2.69,1,18.73,0,16.59,0,19.4,0
214,21.83,0,12.4,1,0.17,1,23.08,0,10.89,1
215,26.56,0,8.91,1,22.62,0,16.65,0,12.83,1
216,24.02,0,4.04,1,15.09,0,10.58,1,28.19,0
217,24.03,0,12.82,1,23.87,0,14.14,1,1.27,1
218,1.31,1,25.97,0,14.28,1,19.13,0,14.17,1
219,16.15,0,6.22,1,10.22,1,25.36,0,3.07,1
220,20.94,0,10.21,1,4.71,1,10.45,1,17.6,0
221,10.3,1,12.59,1,9.25,1,16.85,0,11.53,1
222,8.4,1,26.29,0,22.06,0,11.71,1,14.4,1
223,1.48,1,22.28,0,17.59,0,14.38,1,19.28,0
224,1.75,1,17.94,0,10.71,1,8.31,1,27.21,0
225,20.98,0,3.18,1,24.05,0,22.7,0,5.13,1
226,26.94,0,4.31,1,1.15,1,17.52,0,16.01,0
227,6.78,1,8.13,1,10.02,1,29.07,0,7.05,1
228,21.52,0,7.59,1,12.95,1,1.12,1,29.41,0
229,24.02,0,16.46,0,20.64,0,1.69,1,0.61,1
230,24.89,0,5.0,1,20.4,0,1.93,1,8.87,1
231,16.2,0,6.52,1,29.74,0,16.66,0,29.46,0
232,15.46,0,4.76,1,22.35,0,7.87,1,28.82,0
233,11.38,1,26.93,0,15.52,0,0.87,1,17.73,0
234,18.76,0,28.46,0,12.3,1,12.82,1,6.38,1
235,22.21,0,12.34,1,0.79,1,23.25,0,5.98,1
236,17.43,0,10.2,1,10.06,1,17.63,0,0.69,1
237,9.02,1,19.67,0,24.83,0,13.41,1,1.58,1
238,5.92,1,24.49,0,18.02,0,1.54,1,6.01,1
239,18.88,0,19.54,0,28.89,0,20.33,0,20.72,0
240,15.45,0,3.13,1,27.03,0,10.53,1,9.49,1
241,6.12,1,28.98,0,5.48,1,14.1,1,9.34,1
242,16.6,0,18.79,0,4.17,1,26.63,0,17.3,0
243,12.93,1,7.06,1,4.39,1,23.6,0,24.98,0
244,14.08,1,27.7,0,6.2,1,23.41,0,19.38,0
245,25.35,0,9.88,1,8.94,1,29.65,0,12.81,1
246,5.18,1,21.74,0,27.96,0,24.52,0,21.17,0
247,0.78,1,29.19,0,3.21,1,16.09,0,14.43,1
248,29.08,0,8.0,1,21.17,0,12.56,1,15.18,0
249,22.98,0,13.66,1,12.74,1,20.8,0,15.46,0
250,20.89,0,13.17,1,4.94,1,23.98,0,24.12,0
251,15.81,0,18.81,0,9.2,1,28.28,0,13.23,1
252,14.53,1,5.07,1,16.52,0,19.0,0,16.29,0
253,23.72,0,6.34,1,28.42,0,3.65,1,17.42,0
254,9.83,1,6.26,1,26.69,0,21.16,0,9.04,1
255,9.58,1,10.89,1,26.08,0,21.82,0,20.14,0
256,0.94,1,21.49,0,6.0,1,17.0,0,2.91,1
257,25.64,0,28.41,0,5.6,1,12.75,1,8.44,1
258,18.84,0,21.0,0,9.34,1,21.65,0,20.3,0
259,1.05,1,3.98,1,2.94,1,0.78,1,9.13,1
260,29.16,0,5.97,1,8.99,1,18.73,0,8.04,1
261,0.35,1,9.99,1,28.43,0,27.68,0,25.53,0
262,27.54,0,28.33,0,14.87,1,16.64,0,6.11,1
263,17.87,0,15.48,0,1.97,1,5.72,1,7.06,1
264,23.02,0,12.97,1,2.07,1,13.71,1,21.77,0
265,11.76,1,7.87,1,25.43,0,16.89,0,7.76,1
266,6.72,1,25.97,0,26.18,0,14.71,1,28.28,0
267,28.9,0,22.46,0,9.52,1,10.37,1,14.65,1
268,22.62,0,18.77,0,17.6,0,21.83,0,9.6,1
269,7.84,1,5.55,1,28.22,0,21.51,0,19.53,0
270,18.35,0,19.51,0,13.35,1,5.22,1,24.0,0
271,11.02,1,17.59,0,21.06,0,5.41,1,11.93,1
272,14.62,1,1.97,1,24.82,0,23.9,0,13.69,1
273,7.18,1,25.13,0,11.96,1,5.07,1,27.31,0
274,20.61,0,5.21,1,6.44,1,10.46,1,25.77,0
275,8.07,1,4.56,1,2.33,1,9.76,1,6.11,1
276,6.43,1,11.95,1,5.37,1,12.26,1,27.34,0
277,18.16,0,23.11,0,17.34,0,13.83,1,2.99,1
278,3.5,1,9.68,1,18.48,0,2.4,1,20.73,0
279,6.04,1,16.08,0,14.82,1,25.53,0,11.8,1
280,4.23,1,25.83,0,12.05,1,13.08,1,14.56,1
281,8.01,1,25.83,0,5.01,1,23.91,0,23.62,0
282,2.33,1,20.41,0,26.91,0,15.9,0,29.24,0
283,20.96,0,6.41,1,12.63,1,25.02,0,22.92,0
284,1.73,1,19.78,0,17.26,0,27.78,0,9.66,1
285,29.95,0,26.57,0,1.48,1,17.65,0,27.19,0
286,20.31,0,4.64,1,25.47,0,14.07,1,19.34,0
287,20.59,0,26.1,0,8.22,1,7.44,1,5.55,1
288,20.21,0,18.96,0,27.49,0,15.55,0,24.75,0
289,16.44,0,7.09,1,9.02,1,21.49,0,20.23,0
290,15.89,0,29.9,0,26.73,0,5.84,1,2.36,1
291,14.39,1,7.8,1,26.99,0,9.3,1,15.35,0
292,8.2,1,21.56,0,1.11,1,17.63,0,13.57,1
293,24.24,0,7.48,1,18.23,0,29.17,0,7.98,1
294,10.96,1,5.73,1,13.96,1,23.07,0,15.18,0
295,7.86,1,26.28,0,3.17,1,9.14,1,22.9,0
296,26.63,0,26.98,0,20.24,0,9.59,1,20.88,0
297,12.24,1,17.81,0,26.07,0,3.33,1,0.63,1
298,11.14,1,9.65,1,26.25,0,1.76,1,19.91,0
299,23.33,0,21.08,0,22.25,0,26.63,0,28.26,0
300,27.05,0,4.6,1,24.2,0,0.74,1,27.6,0
301,15.06,0,14.99,1,8.83,1,26.11,0,6.85,1
302,6.54,1,5.96,1,29.54,0,0.42,1,23.76,0
303,12.46,1,27.49,0,24.85,0,5.06,1,0.19,1
304,0.09,1,25.36,0,8.68,1,4.53,1,19.16,0
305,15.89,0,19.36,0,29.58,0,16.43,0,22.41,0
306,6.3,1,19.27,0,23.63,0,12.64,1,14.24,1
307,2.16,1,7.02,1,16.08,0,16.56,0,9.86,1
308,17.42,0,8.08,1,4.67,1,0.43,1,5.49,1
309,24.36,0,18.84,0,29.32,0,21.48,0,19.67,0
310,4.64,1,22.45,0,19.11,0,4.74,1,21.96,0
311,10.85,1,26.59,0,18.67,0,8.73,1,21.04,0
312,17.72,0,6.84,1,24.69,0,10.76,1,26.18,0
313,9.96,1,0.2,1,18.79,0,0.72,1,18.84,0
314,6.89,1,21.99,0,20.04,0,0.89,1,4.33,1
315,23.19,0,22.6,0,23.13,0,20.32,0,12.15,1
316,25.26,0,19.82,0,12.84,1,16.35,0,11.83,1
317,19.03,0,0.27,1,24.93,0,23.14,0,25.64,0
318,25.18,0,6.6,1,19.34,0,3.16,1,7.98,1
319,2.22,1,0.32,1,4.73,1,25.24,0,21.59,0
320,28.4,0,12.38,1,26.2,0,9.23,1,3.48,1
321,1.52,1,25.68,0,17.04,0,0.5,1,22.0,0
322,12.35,1,15.34,0,24.41,0,7.33,1,12.57,1
323,21.2,0,14.56,1,11.84,1,17.34,0,10.58,1
324,17.69,0,19.86,0,26.45,0,21.95,0,16.25,0
325,16.72,0,25.02,0,14.73,1,12.8,1,9.8,1
326,25.16,0,18.37,0,6.1,1,8.39,1,17.08,0
327,15.71,0,29.89,0,17.34,0,20.1,0,19.36,0
328,18.75,0,18.84,0,7.64,1,17.8,0,11.08,1
329,10.76,1,19.82,0,19.51,0,1.96,1,14.55,1
330,24.92,0,23.51,0,23.28,0,12.21,1,5.88,1
331,18.77,0,18.89,0,16.37,0,27.28,0,15.62,0
332,7.31,1,24.46,0,18.46,0,16.9,0,29.79,0
333,15.96,0,8.45,1,12.89,1,18.24,0,26.06,0
334,11.7,1,21.2,0,22.0,0,14.69,1,17.73,0
335,27.62,0,12.16,1,9.18,1,2.81,1,11.27,1
336,5.35,1,21.74,0,19.03,0,1.97,1,23.57,0
337,3.95,1,15.75,0,0.78,1,5.15,1,23.86,0
338,11.39,1,25.33,0,28.16,0,15.42,0,8.74,1
339,7.25,1,26.09,0,25.4,0,18.87,0,6.66,1
340,19.1,0,6.04,1,24.64,0,5.92,1,2.07,1
341,15.79,0,14.32,1,6.41,1,26.67,0,14.01,1
342,28.66,0,18.32,0,2.55,1,15.31,0,6.24,1
343,9.93,1,22.69,0,22.32,0,16.77,0,15.44,0
344,0.84,1,17.49,0,0.18,1,25.63,0,25.0,0
345,1.91,1,5.69,1,3.5,1,8.15,1,10.62,1
346,13.91,1,0.32,1,8.42,1,5.07,1,21.65,0
347,27.21,0,6.74,1,20.17,0,9.18,1,20.12,0
348,18.98,0,2.42,1,17.92,0,3.81,1,18.69,0
349,26.79,0,1.95,1,1.5,1,6.6,1,17.16,0
350,19.62,0,0.36,1,25.93,0,18.75,0,9.79,1
351,14.13,1,20.43,0,23.81,0,24.43,0,21.43,0
352,14.0,1,28.36,0,24.95,0,13.1,1,13.8,1
353,28.96,0,26.15,0,28.76,0,22.24,0,23.55,0
354,24.35,0,16.62,0,0.45,1,26.05,0,29.81,0
355,7.34,1,26.34,0,14.08,1,20.24,0,8.54,1
356,11.22,1,20.92,0,0.0,1,2.54,1,28.51,0
357,12.53,1,27.86,0,24.43,0,8.57,1,9.95,1
358,27.19,0,18.78,0,13.47,1,17.58,0,26.33,0
359,23.03,0,0.05,1,22.51,0,0.23,1,14.91,1
360,17.55,0,27.17,0,14.55,1,20.25,0,26.57,0
361,24.61,0,18.61,0,2.8,1,12.95,1,4.35,1
362,0.38,1,14.54,1,27.45,0,11.14,1,13.29,1
363,24.51,0,25.68,0,17.59,0,24.43,0,20.46,0
364,18.99,0,14.1,1,9.35,1,5.57,1,28.36,0
365,25.31,0,8.72,1,24.31,0,18.71,0,13.27,1
366,10.82,1,15.04,0,17.71,0,18.87,0,2.72,1
367,20.88,0,12.19,1,4.97,1,25.56,0,16.73,0
368,14.81,1,1.49,1,5.84,1,26.54,0,3.97,1
369,24.33,0,16.38,0,2.59,1,19.95,0,6.94,1
370,17.55,0,15.46,0,18.5,0,6.84,1,4.55,1
371,15.85,0,3.83,1,16.55,0,26.56,0,2.76,1
372,2.2,1,24.53,0,24.8,0,19.01,0,12.35,1
373,4.39,1,4.3,1,1.54,1,29.38,0,13.41,1
374,29.54,0,28.85,0,24.93,0,10.86,1,2.66,1
375,20.26,0,23.77,0,18.19,0,11.38,1,6.14,1
376,1.24,1,29.25,0,11.36,1,21.11,0,16.01,0
377,16.9,0,23.2,0,9.42,1,16.43,0,21.01,0
378,27.38,0,22.64,0,10.18,1,4.24,1,5.41,1
379,4.52,1,10.08,1,0.59,1,2.91,1,13.42,1
380,9.89,1,11.93,1,11.45,1,11.37,1,15.52,0
381,29.81,0,17.71,0,4.07,1,11.17,1,0.3,1
382,18.2,0,2.32,1,19.44,0,11.35,1,19.9,0
383,5.27,1,6.83,1,25.2,0,18.5,0,25.75,0
384,12.26,1,16.6,0,13.85,1,27.12,0,8.0,1
385,25.75,0,28.76,0,19.38,0,14.93,1,18.83,0
386,14.79,1,6.34,1,17.05,0,20.33,0,24.29,0
387,14.98,1,0.98,1,8.22,1,28.25,0,27.97,0
388,12.67,1,0.29,1,6.75,1,1.88,1,10.07,1
389,22.01,0,23.93,0,20.39,0,1.73,1,24.22,0
390,2.37,1,25.31,0,7.37,1,1.44,1,4.88,1
391,5.35,1,18.85,0,13.05,1,27.32,0,6.35,1
392,9.79,1,3.37,1,19.98,0,21.49,0,1.5,1
393,1.89,1,5.52,1,23.9,0,26.25,0,0.75,1
394,17.69,0,27.71,0,19.91,0,1.83,1,5.03,1
395,21.77,0,26.29,0,6.59,1,0.11,1,1.8,1
396,6.42,1,8.26,1,23.03,0,7.64,1,14.97,1
397,7.88,1,25.58,0,18.03,0,6.66,1,28.03,0
398,6.35,1,15.04,0,6.96,1,28.01,0,28.66,0
399,27.65,0,14.96,1,11.46,1,25.98,0,21.44,0
400,14.92,1,26.33,0,20.74,0,21.33,0,12.7,1
401,14.01,1,16.57,0,4.91,1,28.39,0,20.9,0
402,20.4,0,15.9,0,17.67,0,29.07,0,15.49,0
403,1.66,1,18.64,0,21.69,0,25.81,0,28.23,0
404,11.09,1,25.07,0,13.86,1,28.81,0,5.04,1
405,19.37,0,22.4,0,16.13,0,17.12,0,19.5,0
406,11.97,1,23.09,0,29.69,0,28.9,0,3.8,1
407,27.86,0,11.23,1,8.16,1,5.11,1,4.38,1
408,12.95,1,24.77,0,29.79,0,18.11,0,16.6,0
409,22.61,0,9.35,1,17.1,0,6.69,1,22.23,0
410,14.34,1,29.99,0,7.28,1,10.65,1,16.22,0
411,18.29,0,16.03,0,15.25,0,2.11,1,21.94,0
412,0.96,1,25.4,0,17.05,0,29.91,0,11.26,1
413,16.33,0,17.46,0,29.35,0,28.83,0,8.3,1
414,8.14,1,27.99,0,24.22,0,6.24,1,4.43,1
415,24.49,0,14.87,1,20.55,0,29.55,0,8.06,1
416,10.51,1,2.89,1,21.85,0,8.4,1,24.17,0
417,19.17,0,14.86,1,14.9,1,0.49,1,0.17,1
418,25.41,0,24.99,0,24.56,0,4.1,1,5.88,1
419,13.01,1,26.65,0,8.15,1,20.21,0,8.34,1
420,20.11,0,6.35,1,0.74,1,5.39,1,21.59,0
421,2.23,1,25.95,0,25.24,0,20.67,0,28.06,0
422,24.06,0,15.1,0,19.82,0,6.48,1,0.25,1
423,25.2,0,5.02,1,13.83,1,28.66,0,20.69,0
424,11.08,1,7.13,1,18.23,0,12.22,1,18.49,0
425,2.51,1,8.66,1,8.83,1,22.26,0,1.11,1
426,0.13,1,10.7,1,18.27,0,7.3,1,19.04,0
427,4.48,1,15.36,0,23.12,0,25.18,0,3.44,1
