student_id,Open Elective-IV_mark,lag_Open Elective-IV,Open Elective-III_mark,lag_Open Elective-III,Elective-V_mark,lag_Elective-V,Elective–IV_mark,lag_Elective–IV,Elective -III_mark,lag_Elective -III
201,25.33,0,3.88,1,12.4,1,1.0,1,19.45,0
202,24.84,0,7.42,1,15.87,0,9.96,1,1.5,1
203,8.78,1,1.87,1,10.06,1,4.19,1,6.35,1
204,17.63,0,20.38,0,21.38,0,24.8,0,15.02,0
205,22.76,0,5.55,1,20.71,0,25.85,0,27.28,0
206,17.83,0,6.54,1,23.06,0,28.29,0,7.25,1
207,5.05,1,5.05,1,28.58,0,0.66,1,23.02,0
208,9.94,1,21.82,0,10.78,1,16.46,0,8.19,1
209,7.22,1,3.56,1,13.74,1,16.0,0,9.33,1
210,17.15,0,29.61,0,15.89,0,14.52,1,20.35,0
211,4.46,1,3.78,1,26.06,0,4.07,1,19.54,0
212,7.17,1,2.97,1,21.53,0,29.58,0,28.44,0
213,23.66,0,0.65,1,14.66,1,11.07,1,8.74,1
214,19.73,0,15.63,0,19.44,0,9.93,1,5.52,1
215,16.65,0,18.94,0,13.0,1,7.97,1,28.46,0
216,3.73,1,9.44,1,10.68,1,24.03,0,10.17,1
217,6.72,1,8.83,1,26.36,0,1.3,1,28.88,0
218,6.38,1,15.03,0,15.22,0,21.84,0,7.03,1
219,16.38,0,1.62,1,0.75,1,14.79,1,11.47,1
220,28.93,0,1.49,1,13.82,1,5.63,1,6.64,1
221,18.24,0,17.6,0,5.96,1,18.23,0,26.1,0
222,9.2,1,3.64,1,5.31,1,29.11,0,7.41,1
223,25.16,0,23.62,0,28.63,0,25.72,0,17.16,0
224,13.91,1,24.4,0,28.15,0,0.71,1,5.4,1
225,2.92,1,26.72,0,16.9,0,23.41,0,15.81,0
226,26.83,0,27.9,0,23.86,0,1.91,1,0.23,1
227,20.33,0,23.99,0,27.7,0,2.42,1,9.36,1
228,0.46,1,24.03,0,21.88,0,3.92,1,12.39,1
229,13.35,1,8.25,1,15.02,0,0.64,1,21.88,0
230,6.18,1,3.65,1,9.55,1,0.96,1,17.8,0
231,26.42,0,19.34,0,13.3,1,0.84,1,1.58,1
232,9.5,1,21.1,0,24.68,0,21.68,0,15.63,0
233,10.51,1,4.74,1,23.79,0,6.23,1,27.66,0
234,28.51,0,19.54,0,4.66,1,19.13,0,25.57,0
235,2.14,1,25.22,0,17.25,0,5.3,1,15.81,0
236,6.14,1,13.35,1,28.95,0,23.46,0,17.56,0
237,5.31,1,29.11,0,1.66,1,11.11,1,6.61,1
238,29.24,0,28.8,0,17.17,0,25.72,0,7.83,1
239,14.15,1,8.96,1,14.54,1,22.88,0,2.31,1
240,28.32,0,24.49,0,10.36,1,27.59,0,17.26,0
241,28.8,0,7.93,1,13.7,1,16.89,0,2.64,1
242,3.8,1,4.28,1,1.93,1,5.86,1,1.49,1
243,16.58,0,3.74,1,6.35,1,11.13,1,5.48,1
244,9.48,1,8.13,1,10.81,1,25.26,0,19.95,0
245,8.39,1,28.26,0,0.98,1,23.66,0,22.43,0
246,18.96,0,5.34,1,12.49,1,27.09,0,22.51,0
247,5.64,1,10.16,1,29.24,0,18.54,0,22.31,0
248,15.07,0,25.09,0,17.07,0,24.45,0,16.72,0
249,14.15,1,21.94,0,4.48,1,8.5,1,24.56,0
250,23.92,0,23.56,0,20.39,0,24.16,0,23.7,0
251,10.27,1,28.66,0,0.71,1,1.16,1,12.77,1
252,5.34,1,26.7,0,4.96,1,3.18,1,23.21,0
253,23.3,0,25.79,0,12.4,1,13.81,1,17.99,0
254,3.84,1,3.11,1,27.22,0,3.35,1,9.88,1
255,8.22,1,7.18,1,11.96,1,22.21,0,26.74,0
256,26.5,0,9.62,1,9.06,1,0.26,1,22.13,0
257,0.51,1,15.53,0,13.43,1,14.29,1,23.67,0
258,0.66,1,2.36,1,2.39,1,23.34,0,6.52,1
259,4.53,1,10.2,1,1.01,1,14.88,1,26.23,0
260,2.01,1,11.74,1,27.92,0,0.07,1,7.54,1
261,29.4,0,8.67,1,2.9,1,11.41,1,17.53,0
262,24.52,0,10.69,1,19.32,0,28.69,0,24.98,0
263,0.33,1,6.82,1,17.49,0,28.35,0,25.99,0
264,28.12,0,7.36,1,28.12,0,7.05,1,5.2,1
265,20.92,0,18.73,0,12.69,1,29.25,0,27.26,0
266,6.21,1,19.33,0,11.8,1,26.4,0,9.41,1
267,0.99,1,9.67,1,2.62,1,26.28,0,24.13,0
268,16.01,0,3.2,1,15.14,0,13.46,1,8.76,1
269,26.23,0,16.98,0,27.34,0,17.64,0,15.09,0
270,2.3,1,6.17,1,27.05,0,21.54,0,8.04,1
271,12.59,1,28.6,0,25.0,0,17.32,0,22.75,0
272,5.48,1,15.44,0,3.99,1,12.04,1,17.81,0
273,20.68,0,17.2,0,28.29,0,24.87,0,26.32,0
274,8.92,1,3.28,1,29.09,0,23.33,0,6.39,1
275,16.82,0,11.88,1,0.71,1,18.54,0,26.41,0
276,11.44,1,22.86,0,18.26,0,7.33,1,25.62,0
277,11.2,1,3.1,1,29.49,0,29.89,0,26.95,0
278,2.03,1,9.49,1,8.6,1,25.72,0,1.32,1
279,18.54,0,27.3,0,27.85,0,18.59,0,3.38,1
280,26.42,0,15.07,0,5.18,1,19.76,0,5.95,1
281,8.28,1,24.25,0,28.94,0,16.88,0,27.14,0
282,8.07,1,18.45,0,18.06,0,5.96,1,24.26,0
283,22.81,0,19.34,0,27.56,0,10.24,1,6.47,1
284,27.57,0,27.69,0,1.0,1,6.34,1,4.16,1
285,29.01,0,7.3,1,18.58,0,3.51,1,10.52,1
286,29.42,0,17.72,0,19.56,0,1.36,1,24.49,0
287,1.84,1,17.79,0,3.77,1,9.95,1,22.42,0
288,4.43,1,12.97,1,11.52,1,22.45,0,25.07,0
289,13.71,1,6.16,1,25.56,0,17.78,0,22.15,0
290,15.11,0,23.79,0,7.48,1,21.6,0,19.44,0
291,17.26,0,17.96,0,17.98,0,12.24,1,14.06,1
292,29.78,0,18.11,0,4.32,1,8.13,1,10.75,1
293,22.11,0,12.54,1,21.5,0,26.28,0,5.74,1
294,5.18,1,8.51,1,14.34,1,24.86,0,17.35,0
295,3.98,1,6.14,1,18.36,0,15.55,0,22.81,0
296,15.95,0,22.32,0,22.53,0,8.01,1,26.47,0
297,18.33,0,5.67,1,4.33,1,29.25,0,29.49,0
298,7.69,1,29.5,0,13.24,1,23.33,0,13.39,1
299,19.66,0,4.03,1,12.11,1,13.67,1,3.61,1
300,27.7,0,27.54,0,6.51,1,18.74,0,17.02,0
301,8.44,1,8.45,1,2.87,1,4.84,1,4.06,1
302,3.8,1,18.03,0,8.34,1,3.84,1,7.58,1
303,11.25,1,14.73,1,20.18,0,3.05,1,26.66,0
304,17.99,0,20.13,0,13.8,1,2.72,1,21.44,0
305,10.68,1,6.51,1,18.9,0,25.59,0,18.67,0
306,7.53,1,4.51,1,16.49,0,25.36,0,12.02,1
307,22.61,0,8.68,1,21.33,0,2.57,1,19.23,0
308,11.81,1,13.37,1,6.81,1,21.64,0,12.91,1
309,23.52,0,6.6,1,12.87,1,23.04,0,5.15,1
310,8.19,1,29.48,0,27.57,0,6.37,1,12.56,1
311,23.69,0,18.84,0,24.82,0,15.47,0,21.66,0
312,21.43,0,27.64,0,12.46,1,25.08,0,24.4,0
313,15.87,0,10.63,1,18.81,0,22.1,0,4.81,1
314,7.36,1,13.99,1,9.79,1,16.04,0,11.08,1
315,9.86,1,5.04,1,17.5,0,23.74,0,13.13,1
316,0.64,1,15.44,0,20.4,0,6.01,1,9.92,1
317,15.11,0,29.0,0,22.73,0,6.02,1,12.42,1
318,28.0,0,24.02,0,7.17,1,8.88,1,22.82,0
319,14.18,1,14.71,1,11.46,1,29.88,0,1.74,1
320,10.85,1,5.49,1,1.4,1,22.37,0,11.23,1
321,0.11,1,5.74,1,5.18,1,2.83,1,11.58,1
322,12.96,1,15.27,0,13.7,1,16.72,0,11.71,1
323,25.71,0,17.26,0,25.31,0,8.89,1,10.74,1
324,15.86,0,19.98,0,19.7,0,15.56,0,11.81,1
325,23.6,0,22.49,0,2.24,1,10.07,1,24.87,0
326,27.35,0,29.28,0,1.09,1,24.83,0,29.08,0
327,11.77,1,11.11,1,13.46,1,9.76,1,8.44,1
328,2.58,1,24.07,0,23.05,0,0.53,1,24.83,0
329,7.53,1,28.22,0,6.62,1,20.01,0,5.33,1
330,5.35,1,1.62,1,8.29,1,29.99,0,14.51,1
331,20.92,0,15.2,0,1.47,1,28.23,0,27.55,0
332,26.19,0,3.68,1,17.01,0,10.1,1,29.46,0
333,3.54,1,9.69,1,2.22,1,15.7,0,29.97,0
334,21.89,0,20.57,0,0.94,1,8.5,1,24.36,0
335,29.08,0,17.04,0,29.18,0,15.23,0,6.18,1
336,25.29,0,13.64,1,22.83,0,29.78,0,7.85,1
337,1.71,1,27.34,0,7.91,1,24.51,0,19.54,0
338,25.05,0,26.81,0,0.1,1,21.04,0,18.01,0
339,25.16,0,6.3,1,22.98,0,1.09,1,15.69,0
340,1.12,1,26.62,0,12.08,1,3.8,1,22.31,0
341,21.57,0,29.26,0,22.33,0,2.16,1,3.33,1
342,20.52,0,15.02,0,20.84,0,27.25,0,6.06,1
343,17.82,0,11.88,1,0.24,1,18.09,0,19.32,0
344,2.47,1,1.88,1,3.35,1,21.31,0,22.28,0
345,4.31,1,26.28,0,0.5,1,27.16,0,1.44,1
346,28.46,0,26.38,0,21.57,0,27.72,0,27.28,0
347,0.19,1,23.47,0,22.38,0,4.24,1,14.21,1
348,4.0,1,26.78,0,26.37,0,14.23,1,11.66,1
349,27.24,0,17.86,0,5.33,1,27.68,0,28.1,0
350,2.09,1,24.53,0,7.18,1,1.56,1,26.18,0
351,29.51,0,6.31,1,7.84,1,7.52,1,12.88,1
352,1.67,1,20.55,0,2.71,1,5.8,1,12.76,1
353,11.94,1,5.18,1,4.02,1,25.36,0,8.55,1
354,0.35,1,27.05,0,3.29,1,16.87,0,7.08,1
355,28.26,0,10.53,1,11.69,1,15.06,0,20.8,0
356,3.8,1,22.29,0,22.9,0,19.25,0,15.44,0
357,16.82,0,16.66,0,18.38,0,21.85,0,27.44,0
358,3.29,1,3.05,1,4.52,1,14.25,1,6.19,1
359,27.67,0,25.07,0,25.86,0,0.39,1,15.92,0
360,14.41,1,3.66,1,13.53,1,24.2,0,1.27,1
361,15.55,0,21.36,0,26.28,0,0.12,1,11.14,1
362,28.8,0,21.44,0,22.73,0,12.28,1,24.06,0
363,27.51,0,23.81,0,0.73,1,12.13,1,11.48,1
364,18.46,0,0.28,1,8.73,1,26.12,0,2.76,1
365,23.34,0,5.56,1,12.07,1,4.49,1,9.52,1
366,6.51,1,23.95,0,6.69,1,28.34,0,7.55,1
367,21.25,0,25.84,0,5.93,1,2.74,1,23.69,0
368,25.36,0,16.54,0,7.78,1,26.05,0,3.64,1
369,13.26,1,7.56,1,1.74,1,11.67,1,6.5,1
370,23.67,0,13.71,1,29.42,0,28.92,0,24.88,0
371,6.41,1,22.78,0,4.5,1,22.35,0,3.16,1
372,23.93,0,6.97,1,12.07,1,9.93,1,29.24,0
373,6.34,1,3.55,1,25.65,0,5.28,1,3.45,1
374,0.6,1,26.07,0,16.0,0,2.59,1,12.17,1
375,4.43,1,18.11,0,28.13,0,3.39,1,22.41,0
376,24.29,0,9.34,1,8.74,1,19.38,0,26.86,0
377,19.64,0,23.48,0,19.18,0,15.35,0,8.64,1
378,23.66,0,15.65,0,20.84,0,24.1,0,21.72,0
379,2.14,1,18.16,0,26.08,0,10.7,1,9.81,1
380,25.97,0,20.47,0,20.23,0,17.79,0,10.55,1
381,23.61,0,8.24,1,7.01,1,0.06,1,4.76,1
382,22.87,0,13.97,1,19.37,0,26.08,0,13.52,1
383,2.04,1,12.73,1,3.47,1,7.99,1,3.43,1
384,29.36,0,26.74,0,0.18,1,7.34,1,28.52,0
385,8.36,1,17.31,0,18.12,0,20.83,0,12.42,1
386,17.45,0,27.33,0,17.7,0,0.19,1,9.93,1
387,21.55,0,6.07,1,10.17,1,26.5,0,26.46,0
388,7.86,1,19.86,0,28.1,0,11.55,1,29.15,0
389,16.94,0,10.07,1,0.07,1,25.86,0,23.27,0
390,17.35,0,22.99,0,17.43,0,7.6,1,4.01,1
391,4.0,1,22.59,0,9.15,1,7.71,1,27.36,0
392,22.01,0,19.51,0,7.84,1,11.55,1,13.82,1
393,9.82,1,9.75,1,12.53,1,26.56,0,9.01,1
394,12.24,1,6.94,1,21.61,0,19.69,0,17.87,0
395,11.03,1,24.53,0,11.06,1,23.7,0,2.17,1
396,26.62,0,26.03,0,25.28,0,18.3,0,13.25,1
397,27.38,0,11.17,1,27.06,0,22.67,0,0.4,1
398,20.97,0,16.8,0,6.07,1,28.98,0,22.17,0
399,23.07,0,12.86,1,15.44,0,15.73,0,6.39,1
400,10.49,1,13.42,1,26.0,0,21.52,0,17.86,0
401,17.9,0,21.96,0,21.64,0,29.59,0,16.98,0
402,9.79,1,6.46,1,17.85,0,9.96,1,0.74,1
403,0.85,1,29.89,0,15.44,0,11.85,1,6.43,1
404,25.31,0,20.48,0,3.35,1,21.9,0,23.5,0
405,29.11,0,10.47,1,14.22,1,12.48,1,10.19,1
406,24.05,0,7.64,1,7.27,1,1.36,1,8.96,1
407,5.95,1,2.21,1,24.43,0,6.34,1,7.56,1
408,11.59,1,23.01,0,9.08,1,23.81,0,11.06,1
409,18.33,0,12.15,1,3.52,1,12.71,1,14.85,1
410,9.79,1,22.42,0,28.67,0,8.12,1,2.23,1
411,12.07,1,1.84,1,20.17,0,2.62,1,13.38,1
412,15.7,0,23.96,0,14.75,1,20.02,0,0.1,1
413,20.12,0,14.95,1,20.73,0,26.82,0,18.56,0
414,24.95,0,16.85,0,21.0,0,1.61,1,11.11,1
415,16.69,0,23.22,0,27.96,0,1.02,1,25.72,0
416,10.85,1,1.54,1,12.64,1,4.86,1,14.35,1
417,3.91,1,23.33,0,3.75,1,15.8,0,20.23,0
418,17.46,0,7.48,1,25.0,0,0.6,1,4.38,1
419,1.1,1,20.1,0,27.53,0,28.15,0,27.76,0
420,24.13,0,2.33,1,7.17,1,28.62,0,9.5,1
421,29.44,0,19.85,0,0.12,1,27.63,0,8.54,1
422,15.01,0,24.32,0,20.02,0,16.13,0,8.21,1
423,25.84,0,0.32,1,18.93,0,0.76,1,17.86,0
424,24.33,0,29.84,0,27.54,0,0.29,1,6.18,1
425,24.77,0,14.11,1,11.75,1,19.7,0,15.81,0
426,22.36,0,13.4,1,2.98,1,0.04,1,12.3,1
427,18.55,0,1.11,1,27.48,0,17.7,0,26.82,0
428,28.7,0,14.76,1,19.23,0,0.48,1,0.13,1
429,16.28,0,11.74,1,7.24,1,28.74,0,12.66,1
430,1.65,1,13.31,1,2.68,1,2.34,1,16.54,0
