student_id,Object-Oriented Software Engineering_mark,lag_Object-Oriented Software Engineering,Web Technologies_mark,lag_Web Technologies,Artificial Intelligence_mark,lag_Artificial Intelligence,Open Elective-II_mark,lag_Open Elective-II,Elective-II_mark,lag_Elective-II
115,1.44,1,17.86,0,26.55,0,5.26,1,9.42,1
116,26.38,0,5.21,1,20.79,0,19.06,0,0.02,1
117,26.79,0,20.53,0,20.1,0,4.36,1,19.38,0
118,21.33,0,28.79,0,18.26,0,5.92,1,4.09,1
119,7.5,1,24.5,0,3.77,1,12.54,1,5.33,1
120,25.57,0,6.88,1,0.74,1,15.5,0,21.2,0
121,22.7,0,11.66,1,16.95,0,7.77,1,27.94,0
122,4.57,1,10.48,1,10.37,1,22.19,0,22.96,0
123,6.59,1,27.11,0,15.37,0,17.44,0,11.23,1
124,10.83,1,24.76,0,1.39,1,18.51,0,6.11,1
125,12.35,1,14.67,1,1.66,1,4.27,1,7.46,1
126,4.36,1,17.81,0,1.89,1,0.06,1,21.06,0
127,29.36,0,3.03,1,6.61,1,26.17,0,24.0,0
128,14.79,1,19.16,0,19.24,0,22.2,0,16.67,0
129,17.14,0,21.08,0,4.87,1,11.97,1,6.34,1
130,22.52,0,10.39,1,6.55,1,3.22,1,8.33,1
131,3.46,1,2.28,1,27.78,0,27.17,0,28.54,0
132,26.22,0,6.5,1,21.78,0,26.91,0,10.76,1
133,23.79,0,5.2,1,11.71,1,26.91,0,25.55,0
134,4.96,1,14.36,1,1.3,1,7.64,1,29.7,0
135,18.08,0,19.96,0,0.88,1,18.44,0,13.74,1
136,8.06,1,29.91,0,21.72,0,29.39,0,10.54,1
137,1.37,1,13.94,1,9.61,1,20.01,0,3.27,1
138,18.21,0,18.21,0,5.31,1,25.48,0,24.91,0
139,14.81,1,4.97,1,7.34,1,4.72,1,15.02,0
140,6.99,1,26.53,0,13.69,1,29.87,0,20.9,0
141,10.91,1,25.37,0,26.25,0,14.36,1,22.75,0
142,29.24,0,5.89,1,3.12,1,19.94,0,1.41,1
143,28.98,0,25.24,0,24.54,0,17.94,0,20.57,0
144,10.39,1,8.75,1,23.3,0,12.45,1,26.83,0
145,29.41,0,9.82,1,29.47,0,24.58,0,5.28,1
146,12.45,1,11.53,1,0.5,1,7.73,1,7.74,1
147,1.63,1,15.8,0,24.43,0,20.37,0,5.98,1
148,18.88,0,19.7,0,15.51,0,21.9,0,3.27,1
149,15.17,0,11.3,1,19.35,0,10.89,1,27.64,0
150,9.22,1,5.5,1,9.75,1,27.3,0,13.42,1
151,6.5,1,17.04,0,9.92,1,21.93,0,6.51,1
152,16.7,0,16.29,0,8.99,1,2.62,1,23.08,0
153,29.4,0,5.74,1,27.64,0,19.59,0,10.3,1
154,24.75,0,3.88,1,0.56,1,20.39,0,23.59,0
155,16.37,0,18.59,0,17.2,0,12.18,1,1.66,1
156,14.03,1,24.96,0,0.49,1,11.71,1,27.29,0
157,4.65,1,25.73,0,19.02,0,4.86,1,2.19,1
158,21.8,0,24.12,0,3.39,1,18.32,0,21.4,0
159,8.43,1,5.74,1,25.36,0,9.61,1,24.3,0
160,18.58,0,18.79,0,20.06,0,26.8,0,5.64,1
161,21.11,0,13.72,1,19.38,0,7.42,1,28.95,0
162,3.85,1,4.43,1,4.64,1,11.34,1,20.34,0
163,29.27,0,8.8,1,5.01,1,28.97,0,1.76,1
164,4.23,1,21.54,0,18.77,0,8.57,1,3.3,1
165,10.54,1,12.15,1,6.28,1,0.18,1,18.91,0
166,6.65,1,27.81,0,9.1,1,15.45,0,10.93,1
167,27.44,0,14.25,1,8.43,1,17.8,0,18.87,0
168,17.57,0,9.92,1,0.39,1,20.31,0,29.48,0
169,3.58,1,8.3,1,4.74,1,14.34,1,3.2,1
170,1.18,1,24.81,0,11.43,1,5.24,1,19.35,0
171,9.76,1,14.93,1,25.8,0,13.76,1,17.75,0
172,29.63,0,23.94,0,10.42,1,26.06,0,28.49,0
173,7.68,1,21.85,0,4.8,1,11.78,1,18.18,0
174,26.47,0,20.09,0,13.67,1,1.52,1,20.39,0
175,7.33,1,26.18,0,9.77,1,19.69,0,3.12,1
176,21.75,0,15.26,0,22.38,0,19.99,0,1.89,1
177,28.45,0,25.55,0,0.73,1,12.97,1,25.33,0
178,19.65,0,10.74,1,15.58,0,4.22,1,12.46,1
179,23.82,0,28.28,0,9.8,1,22.99,0,16.61,0
180,24.84,0,12.3,1,1.32,1,22.11,0,25.47,0
181,0.92,1,14.9,1,13.99,1,0.46,1,4.63,1
182,20.76,0,3.88,1,17.74,0,25.47,0,27.71,0
183,9.52,1,6.2,1,13.84,1,16.06,0,4.95,1
184,12.49,1,7.73,1,27.64,0,27.75,0,19.9,0
185,4.99,1,24.04,0,11.68,1,6.19,1,7.37,1
186,13.77,1,17.91,0,7.1,1,15.07,0,9.44,1
187,6.44,1,16.28,0,3.39,1,16.18,0,16.1,0
188,14.47,1,20.26,0,5.67,1,20.4,0,11.32,1
189,10.6,1,22.16,0,7.38,1,11.26,1,18.64,0
190,2.27,1,13.17,1,14.66,1,27.88,0,4.74,1
191,15.68,0,23.86,0,3.04,1,23.73,0,28.71,0
192,5.95,1,29.66,0,0.04,1,8.58,1,9.28,1
193,17.09,0,7.52,1,22.65,0,14.92,1,10.98,1
194,24.31,0,16.95,0,16.13,0,28.6,0,12.6,1
195,16.51,0,4.36,1,13.41,1,3.08,1,5.47,1
196,5.27,1,11.09,1,11.6,1,1.42,1,15.59,0
197,9.1,1,22.24,0,13.86,1,9.62,1,28.78,0
198,22.64,0,29.71,0,5.25,1,11.42,1,15.53,0
199,26.49,0,8.55,1,27.21,0,12.52,1,16.14,0
200,15.24,0,0.71,1,6.43,1,11.11,1,23.78,0
201,16.16,0,24.18,0,19.05,0,11.21,1,1.93,1
202,8.77,1,27.03,0,8.45,1,7.24,1,23.26,0
203,8.7,1,1.28,1,14.17,1,4.74,1,24.45,0
204,25.02,0,17.42,0,1.26,1,19.81,0,9.05,1
205,9.34,1,19.89,0,9.81,1,28.54,0,11.05,1
206,0.64,1,27.91,0,12.75,1,9.8,1,21.02,0
207,6.62,1,14.82,1,19.03,0,29.55,0,10.26,1
208,0.31,1,27.9,0,2.16,1,15.87,0,2.41,1
209,8.7,1,4.34,1,28.24,0,12.08,1,18.72,0
210,1.2,1,28.46,0,13.87,1,22.63,0,13.06,1
211,24.12,0,17.3,0,0.05,1,12.99,1,9.39,1
212,12.09,1,0.3,1,25.06,0,13.91,1,1.07,1
213,28.05,0,28.69,0,5.63,1,19.88,0,7.69,1
214,4.19,1,23.34,0,5.77,1,25.25,0,7.24,1
215,8.97,1,5.34,1,26.14,0,17.55,0,4.94,1
216,8.28,1,0.61,1,25.9,0,17.86,0,23.25,0
217,9.45,1,9.27,1,15.57,0,1.1,1,20.23,0
218,26.34,0,7.19,1,8.52,1,24.72,0,29.83,0
219,2.59,1,1.36,1,12.51,1,15.29,0,9.09,1
220,24.99,0,9.25,1,20.43,0,16.46,0,16.08,0
221,9.65,1,29.22,0,23.23,0,18.96,0,9.1,1
222,21.03,0,20.92,0,10.58,1,28.9,0,18.69,0
223,2.04,1,0.55,1,29.41,0,4.34,1,11.25,1
224,1.88,1,20.53,0,4.56,1,20.85,0,27.05,0
225,18.1,0,4.77,1,24.67,0,26.04,0,1.86,1
226,22.31,0,16.76,0,28.71,0,12.3,1,6.47,1
227,27.97,0,26.52,0,29.03,0,10.5,1,0.08,1
228,15.98,0,22.58,0,27.26,0,26.83,0,22.23,0
229,17.71,0,19.86,0,9.48,1,7.98,1,28.06,0
230,9.03,1,28.63,0,18.6,0,9.2,1,23.73,0
231,23.0,0,9.65,1,0.71,1,16.14,0,21.32,0
232,27.74,0,29.57,0,15.0,0,2.63,1,1.93,1
233,24.82,0,10.43,1,22.43,0,27.49,0,6.15,1
234,17.77,0,11.05,1,20.39,0,15.66,0,26.26,0
235,26.65,0,15.34,0,19.04,0,0.45,1,28.05,0
236,23.38,0,16.56,0,0.29,1,2.3,1,0.42,1
237,15.3,0,16.86,0,12.19,1,9.99,1,19.27,0
238,20.04,0,14.05,1,4.61,1,3.16,1,9.02,1
239,5.88,1,1.9,1,1.19,1,3.44,1,22.6,0
240,7.05,1,23.1,0,2.48,1,9.51,1,6.87,1
241,9.02,1,16.81,0,9.21,1,19.41,0,5.18,1
242,28.28,0,7.01,1,8.23,1,12.79,1,26.8,0
243,7.97,1,23.52,0,18.12,0,29.17,0,5.77,1
244,21.23,0,11.44,1,8.03,1,4.78,1,6.65,1
245,19.82,0,24.92,0,8.98,1,19.71,0,2.26,1
246,19.27,0,14.34,1,22.99,0,7.35,1,25.45,0
247,19.34,0,10.45,1,4.18,1,13.14,1,10.42,1
248,18.38,0,29.7,0,10.82,1,6.33,1,7.47,1
249,19.34,0,1.3,1,9.66,1,1.45,1,16.44,0
250,19.85,0,6.3,1,28.25,0,8.23,1,17.8,0
251,21.75,0,10.26,1,2.97,1,5.07,1,9.84,1
252,13.47,1,8.42,1,19.23,0,29.25,0,17.9,0
253,3.01,1,14.61,1,26.88,0,4.19,1,25.38,0
254,17.18,0,10.98,1,3.2,1,12.21,1,7.97,1
255,21.88,0,25.93,0,5.92,1,9.34,1,24.16,0
256,29.46,0,11.47,1,3.97,1,11.67,1,16.79,0
257,17.83,0,2.65,1,17.51,0,11.1,1,5.81,1
258,2.08,1,4.89,1,8.17,1,15.27,0,29.79,0
259,12.4,1,18.81,0,5.98,1,28.44,0,7.55,1
260,16.98,0,12.93,1,22.54,0,14.32,1,0.83,1
261,19.75,0,6.83,1,2.42,1,13.3,1,11.86,1
262,5.91,1,8.86,1,26.7,0,15.16,0,3.0,1
263,16.45,0,11.22,1,13.5,1,11.09,1,3.99,1
264,27.0,0,29.86,0,1.64,1,2.29,1,25.02,0
265,17.48,0,4.51,1,27.15,0,4.25,1,19.02,0
266,9.64,1,20.35,0,14.12,1,19.41,0,6.99,1
267,0.47,1,6.84,1,28.39,0,20.81,0,24.42,0
268,16.27,0,4.17,1,3.04,1,2.62,1,13.01,1
269,26.58,0,7.57,1,5.15,1,27.21,0,12.5,1
270,13.1,1,12.38,1,14.06,1,15.0,0,11.89,1
271,16.63,0,6.87,1,12.85,1,22.78,0,24.83,0
272,18.38,0,0.9,1,28.41,0,12.43,1,11.71,1
273,24.24,0,14.62,1,2.37,1,25.76,0,23.99,0
274,25.8,0,13.85,1,9.56,1,18.21,0,23.2,0
275,8.13,1,9.47,1,3.6,1,15.14,0,24.8,0
276,25.69,0,28.5,0,6.02,1,14.94,1,26.47,0
277,28.78,0,25.12,0,3.68,1,9.6,1,15.56,0
278,14.29,1,28.24,0,11.47,1,25.97,0,20.81,0
279,28.35,0,9.69,1,6.14,1,5.46,1,19.82,0
280,17.9,0,28.56,0,19.66,0,28.42,0,24.47,0
281,27.45,0,5.2,1,12.74,1,9.5,1,17.85,0
282,22.97,0,4.83,1,12.34,1,18.1,0,4.59,1
283,13.7,1,19.68,0,18.18,0,2.44,1,24.45,0
284,22.04,0,11.29,1,14.74,1,17.34,0,0.62,1
285,7.11,1,14.44,1,12.52,1,26.1,0,27.34,0
286,21.23,0,27.27,0,22.15,0,13.41,1,7.9,1
287,18.18,0,4.28,1,19.2,0,3.2,1,1.33,1
288,20.77,0,20.96,0,5.56,1,22.79,0,26.27,0
289,19.97,0,4.75,1,14.15,1,23.91,0,10.37,1
290,10.05,1,23.38,0,21.64,0,7.95,1,26.51,0
291,23.63,0,0.75,1,11.0,1,15.74,0,5.28,1
292,13.68,1,7.76,1,25.88,0,18.35,0,7.92,1
293,1.04,1,3.24,1,18.39,0,20.91,0,15.59,0
294,6.92,1,25.4,0,25.66,0,28.82,0,17.93,0
295,22.66,0,0.45,1,29.98,0,15.82,0,19.43,0
296,19.97,0,29.53,0,28.97,0,5.63,1,9.84,1
297,16.11,0,28.16,0,17.64,0,11.44,1,3.56,1
298,11.34,1,28.97,0,18.41,0,2.38,1,23.27,0
299,20.03,0,6.2,1,12.08,1,13.55,1,18.08,0
300,4.0,1,26.21,0,23.44,0,28.98,0,2.94,1
301,6.19,1,2.69,1,28.89,0,13.62,1,3.04,1
302,29.02,0,13.9,1,22.43,0,18.34,0,19.39,0
303,9.61,1,20.39,0,29.28,0,15.23,0,22.02,0
304,25.46,0,22.76,0,16.75,0,22.3,0,23.96,0
305,1.57,1,9.96,1,26.11,0,18.23,0,16.56,0
306,23.31,0,22.39,0,22.99,0,24.18,0,17.71,0
307,1.3,1,23.03,0,1.92,1,21.53,0,26.25,0
308,4.09,1,3.08,1,6.73,1,23.04,0,23.64,0
309,25.69,0,19.77,0,4.26,1,13.34,1,3.63,1
310,6.8,1,17.85,0,28.2,0,18.81,0,17.69,0
311,24.77,0,9.62,1,28.09,0,25.3,0,28.83,0
312,15.38,0,20.96,0,24.15,0,16.15,0,22.54,0
313,3.8,1,7.45,1,26.93,0,9.67,1,12.63,1
314,17.39,0,23.08,0,5.84,1,25.45,0,15.77,0
315,22.72,0,16.08,0,0.26,1,9.72,1,21.57,0
316,29.22,0,18.26,0,22.73,0,24.72,0,27.23,0
317,3.55,1,23.56,0,17.14,0,9.35,1,24.42,0
318,15.77,0,18.31,0,26.88,0,7.75,1,9.79,1
319,1.91,1,5.88,1,21.76,0,7.92,1,15.08,0
320,1.33,1,13.25,1,25.24,0,2.62,1,25.37,0
321,4.08,1,0.54,1,3.88,1,2.83,1,29.02,0
322,7.85,1,24.98,0,9.82,1,19.76,0,13.04,1
323,20.8,0,24.03,0,6.01,1,14.16,1,10.14,1
324,24.39,0,6.28,1,0.93,1,17.63,0,24.54,0
325,28.4,0,5.95,1,4.16,1,5.38,1,25.33,0
326,29.38,0,29.46,0,22.61,0,15.42,0,12.09,1
327,10.02,1,11.06,1,16.39,0,4.47,1,8.23,1
328,7.09,1,11.31,1,1.72,1,7.44,1,29.04,0
329,10.13,1,23.31,0,22.52,0,13.41,1,12.29,1
330,10.12,1,18.24,0,27.06,0,5.16,1,23.99,0
331,24.5,0,3.83,1,0.8,1,24.47,0,25.62,0
332,22.96,0,23.58,0,1.43,1,8.39,1,21.64,0
333,8.0,1,27.11,0,26.39,0,15.01,0,25.55,0
334,26.49,0,0.89,1,3.2,1,27.99,0,9.21,1
335,4.94,1,17.48,0,26.86,0,16.31,0,11.69,1
336,27.92,0,13.4,1,18.17,0,7.19,1,8.61,1
337,14.16,1,9.7,1,3.13,1,23.63,0,24.27,0
338,9.8,1,8.43,1,24.09,0,24.24,0,8.37,1
339,5.52,1,21.17,0,29.11,0,25.75,0,7.14,1
340,6.82,1,16.83,0,24.18,0,10.04,1,7.42,1
341,27.46,0,29.18,0,9.26,1,10.4,1,15.78,0
342,13.23,1,29.83,0,5.62,1,10.95,1,22.03,0
343,12.07,1,8.9,1,3.13,1,22.14,0,8.81,1
344,26.26,0,8.53,1,18.24,0,29.43,0,6.39,1
345,14.04,1,6.1,1,6.1,1,28.07,0,10.96,1
346,8.46,1,11.0,1,25.92,0,4.94,1,19.0,0
347,5.29,1,1.71,1,16.73,0,17.11,0,4.37,1
348,26.25,0,29.28,0,5.99,1,13.31,1,26.33,0
349,14.01,1,4.13,1,5.54,1,25.82,0,1.58,1
350,19.1,0,27.45,0,4.32,1,20.45,0,10.6,1
351,0.77,1,21.88,0,25.57,0,11.86,1,9.42,1
352,27.4,0,28.55,0,15.8,0,0.53,1,25.55,0
353,17.71,0,4.63,1,14.97,1,3.37,1,25.88,0
354,23.45,0,16.36,0,12.21,1,9.34,1,15.39,0
355,16.02,0,14.26,1,0.17,1,3.25,1,25.17,0
356,2.85,1,14.8,1,16.39,0,26.95,0,4.89,1
357,7.59,1,4.65,1,25.22,0,16.72,0,21.72,0
358,9.9,1,20.8,0,9.67,1,24.43,0,23.39,0
359,10.89,1,12.56,1,8.21,1,16.32,0,20.41,0
360,23.74,0,21.84,0,9.29,1,28.27,0,21.48,0
361,3.72,1,1.35,1,3.02,1,12.66,1,22.91,0
362,21.16,0,22.45,0,10.04,1,28.07,0,11.47,1
363,18.77,0,20.39,0,19.39,0,1.39,1,26.01,0
364,14.63,1,25.02,0,22.17,0,5.92,1,24.44,0
365,6.22,1,7.16,1,3.39,1,3.14,1,8.32,1
366,3.79,1,7.9,1,22.14,0,15.97,0,24.21,0
367,28.07,0,18.0,0,5.96,1,22.74,0,1.73,1
368,25.77,0,17.28,0,4.85,1,2.5,1,25.25,0
369,10.92,1,28.12,0,20.12,0,11.32,1,26.16,0
370,20.87,0,17.77,0,2.49,1,17.83,0,5.31,1
371,14.08,1,23.27,0,24.11,0,2.16,1,27.06,0
372,24.06,0,14.8,1,11.61,1,0.27,1,9.51,1
373,10.71,1,6.85,1,17.77,0,1.99,1,19.12,0
374,9.35,1,0.6,1,6.01,1,14.95,1,26.47,0
375,21.41,0,11.42,1,27.54,0,3.66,1,19.72,0
376,8.4,1,19.48,0,13.87,1,27.66,0,14.04,1
377,14.83,1,15.48,0,3.42,1,29.09,0,2.14,1
378,11.03,1,14.4,1,23.49,0,8.0,1,14.54,1
379,15.89,0,18.45,0,9.66,1,18.68,0,5.87,1
380,28.29,0,3.67,1,26.22,0,20.6,0,3.64,1
381,14.75,1,4.22,1,1.27,1,2.38,1,13.69,1
382,8.32,1,6.3,1,15.52,0,21.19,0,20.09,0
383,21.78,0,13.9,1,23.51,0,16.73,0,15.78,0
384,1.55,1,0.39,1,4.05,1,1.69,1,11.15,1
385,16.25,0,17.41,0,15.31,0,23.05,0,4.16,1
386,15.06,0,25.82,0,24.09,0,16.11,0,27.54,0
387,8.57,1,15.61,0,1.7,1,19.14,0,22.84,0
388,10.17,1,11.68,1,7.86,1,29.25,0,26.1,0
389,24.65,0,21.3,0,8.23,1,20.82,0,18.46,0
390,20.09,0,10.16,1,18.23,0,17.9,0,12.3,1
391,9.7,1,23.35,0,10.27,1,27.52,0,22.95,0
392,20.26,0,12.9,1,27.26,0,10.81,1,7.99,1
393,9.84,1,16.68,0,22.19,0,13.12,1,9.62,1
394,10.54,1,8.63,1,17.91,0,14.24,1,21.0,0
395,0.89,1,26.69,0,1.86,1,0.65,1,16.56,0
396,20.24,0,19.39,0,0.7,1,15.69,0,20.69,0
397,2.11,1,13.86,1,19.13,0,5.16,1,10.82,1
398,0.7,1,5.37,1,6.8,1,25.46,0,7.05,1
399,10.88,1,4.1,1,18.37,0,24.9,0,20.2,0
400,12.3,1,7.44,1,14.45,1,22.64,0,15.41,0
401,1.67,1,25.08,0,15.38,0,22.55,0,21.28,0
402,12.08,1,4.43,1,11.32,1,25.16,0,25.01,0
403,17.99,0,7.13,1,6.99,1,14.54,1,20.6,0
404,27.97,0,27.06,0,14.49,1,9.14,1,26.09,0
405,24.91,0,18.65,0,27.67,0,20.28,0,9.42,1
406,14.5,1,7.67,1,9.35,1,14.78,1,19.87,0
407,17.6,0,0.69,1,16.49,0,28.27,0,12.51,1
408,24.12,0,3.33,1,25.88,0,23.83,0,16.85,0
409,1.64,1,29.11,0,17.83,0,20.08,0,14.44,1
410,13.45,1,23.47,0,23.06,0,9.32,1,26.23,0
411,26.67,0,13.58,1,0.1,1,24.08,0,0.57,1
412,19.0,0,14.79,1,6.07,1,26.27,0,25.66,0
413,16.63,0,0.35,1,22.78,0,1.51,1,7.34,1
414,0.86,1,11.32,1,19.96,0,1.5,1,27.22,0
415,20.42,0,1.54,1,15.65,0,0.87,1,4.5,1
416,3.98,1,19.9,0,8.52,1,3.04,1,20.54,0
417,18.07,0,20.04,0,14.59,1,24.77,0,28.63,0
418,3.54,1,26.23,0,13.33,1,14.02,1,8.48,1
419,26.7,0,16.16,0,14.4,1,18.59,0,18.27,0
420,8.35,1,29.7,0,21.14,0,19.9,0,29.18,0
421,20.51,0,25.07,0,15.44,0,19.41,0,15.34,0
422,0.11,1,1.85,1,14.83,1,20.98,0,18.88,0
423,1.29,1,24.01,0,1.58,1,22.37,0,7.43,1
424,4.44,1,18.88,0,21.02,0,16.06,0,23.39,0
425,4.62,1,17.6,0,26.42,0,6.49,1,19.11,0
426,21.44,0,11.14,1,19.48,0,0.75,1,12.46,1
427,15.85,0,28.26,0,27.03,0,13.86,1,20.37,0
428,7.1,1,25.55,0,17.12,0,3.53,1,13.02,1
429,13.23,1,1.82,1,20.72,0,20.37,0,15.96,0
