student_id,Object Oriented Programming through Java_mark,lag_Object Oriented Programming through Java,Operating Systems_mark,lag_Operating Systems,Computer Organization and Architecture_mark,lag_Computer Organization and Architecture,Data Structures_mark,lag_Data Structures,"Probability, Statistics and Queuing Theory_mark","lag_Probability, Statistics and Queuing Theory"
83,17.05,0,29.94,0,25.04,0,25.64,0,3.65,1
84,20.1,0,29.06,0,13.97,1,0.3,1,29.01,0
85,8.21,1,13.83,1,15.29,0,15.59,0,25.88,0
86,21.56,0,21.82,0,17.87,0,4.05,1,24.5,0
87,6.54,1,7.49,1,2.68,1,18.71,0,23.45,0
88,5.93,1,12.76,1,0.7,1,9.28,1,22.92,0
89,2.95,1,25.61,0,15.39,0,29.1,0,17.84,0
90,26.02,0,7.37,1,6.33,1,23.57,0,21.45,0
91,8.36,1,13.26,1,1.32,1,6.64,1,21.54,0
92,19.96,0,8.92,1,20.01,0,2.02,1,20.21,0
93,0.64,1,9.45,1,4.82,1,17.02,0,22.21,0
94,2.85,1,20.4,0,29.96,0,15.48,0,25.94,0
95,5.74,1,7.22,1,11.77,1,7.55,1,26.19,0
96,7.36,1,19.04,0,4.31,1,8.19,1,25.42,0
97,19.76,0,18.3,0,24.55,0,4.25,1,21.56,0
98,27.53,0,13.97,1,19.56,0,14.73,1,10.04,1
99,6.65,1,13.45,1,20.86,0,19.09,0,7.53,1
100,14.37,1,19.38,0,15.98,0,7.44,1,16.56,0
101,6.6,1,11.58,1,23.45,0,21.88,0,22.78,0
102,12.68,1,15.37,0,19.26,0,28.51,0,11.82,1
103,3.69,1,3.28,1,6.05,1,21.23,0,17.21,0
104,18.93,0,11.97,1,13.48,1,18.47,0,11.39,1
105,28.57,0,11.82,1,28.7,0,5.53,1,18.73,0
106,2.02,1,28.89,0,9.24,1,19.56,0,9.58,1
107,10.46,1,13.35,1,28.23,0,24.0,0,19.0,0
108,4.26,1,18.5,0,20.94,0,23.6,0,8.92,1
109,10.8,1,6.83,1,21.99,0,13.5,1,28.99,0
110,2.95,1,16.32,0,5.43,1,18.71,0,23.37,0
111,21.72,0,1.02,1,8.8,1,12.68,1,3.88,1
112,14.85,1,20.78,0,21.08,0,16.55,0,26.69,0
113,8.79,1,3.36,1,23.77,0,15.25,0,25.13,0
114,23.19,0,24.75,0,25.6,0,5.37,1,13.61,1
115,11.51,1,16.9,0,22.57,0,4.93,1,6.47,1
116,28.21,0,15.75,0,24.71,0,1.07,1,3.58,1
117,1.07,1,3.53,1,14.24,1,1.39,1,25.51,0
118,24.44,0,3.85,1,27.49,0,5.46,1,6.31,1
119,25.07,0,13.83,1,17.26,0,17.29,0,24.6,0
120,5.13,1,8.78,1,26.36,0,20.35,0,15.31,0
121,13.16,1,7.3,1,21.83,0,0.67,1,11.93,1
122,13.08,1,7.73,1,28.8,0,20.17,0,12.28,1
123,8.36,1,6.86,1,18.66,0,26.49,0,10.98,1
124,2.86,1,23.19,0,24.17,0,20.96,0,2.92,1
125,11.35,1,15.08,0,24.51,0,23.89,0,2.05,1
126,18.32,0,14.52,1,9.76,1,18.35,0,21.03,0
127,10.31,1,15.65,0,15.32,0,4.77,1,3.36,1
128,28.17,0,24.39,0,0.78,1,9.83,1,3.64,1
129,13.59,1,25.24,0,15.18,0,17.9,0,29.18,0
130,10.15,1,9.74,1,9.66,1,23.7,0,21.19,0
131,20.27,0,3.03,1,17.81,0,5.57,1,8.9,1
132,22.7,0,7.55,1,2.43,1,9.0,1,6.41,1
133,0.99,1,9.09,1,3.44,1,18.46,0,8.38,1
134,1.53,1,29.78,0,28.58,0,5.44,1,5.35,1
135,1.16,1,7.93,1,4.08,1,14.27,1,2.19,1
136,20.57,0,5.37,1,6.54,1,14.49,1,9.13,1
137,0.58,1,9.7,1,7.58,1,12.26,1,29.25,0
138,24.13,0,5.04,1,15.86,0,9.37,1,21.6,0
139,4.1,1,11.9,1,14.74,1,24.52,0,17.06,0
140,3.1,1,10.63,1,14.57,1,13.81,1,26.51,0
141,5.62,1,12.23,1,2.42,1,12.59,1,0.86,1
142,22.92,0,6.44,1,25.68,0,24.77,0,18.3,0
143,18.22,0,13.88,1,19.17,0,27.75,0,11.08,1
144,2.71,1,26.44,0,27.23,0,24.6,0,7.38,1
145,2.71,1,1.16,1,27.49,0,1.38,1,8.0,1
146,12.34,1,17.62,0,17.25,0,3.82,1,26.05,0
147,29.57,0,10.53,1,29.11,0,22.45,0,24.29,0
148,9.29,1,10.38,1,7.06,1,23.62,0,13.26,1
149,17.37,0,14.02,1,23.83,0,27.27,0,29.72,0
150,2.2,1,3.63,1,29.01,0,15.87,0,28.33,0
151,13.16,1,7.01,1,20.08,0,1.65,1,0.92,1
152,23.14,0,13.88,1,7.45,1,13.82,1,23.65,0
153,5.42,1,19.26,0,9.34,1,26.31,0,9.12,1
154,16.05,0,20.42,0,29.17,0,19.12,0,5.21,1
155,9.39,1,16.13,0,11.73,1,11.97,1,9.0,1
156,17.63,0,28.72,0,30.0,0,0.53,1,12.23,1
157,16.91,0,0.14,1,12.45,1,9.56,1,16.6,0
158,27.16,0,18.6,0,22.17,0,11.88,1,19.22,0
159,5.12,1,29.18,0,25.88,0,19.09,0,1.33,1
160,15.97,0,28.24,0,19.07,0,5.51,1,12.47,1
161,27.21,0,12.65,1,13.95,1,11.58,1,19.54,0
162,10.43,1,12.93,1,25.59,0,22.28,0,17.21,0
163,8.07,1,28.53,0,16.99,0,9.21,1,22.97,0
164,8.11,1,23.47,0,28.16,0,11.43,1,11.06,1
165,23.54,0,12.33,1,28.69,0,1.72,1,5.11,1
166,22.46,0,15.39,0,26.96,0,17.92,0,27.87,0
167,18.04,0,29.69,0,25.24,0,3.34,1,26.96,0
168,10.2,1,23.87,0,15.81,0,20.06,0,21.33,0
169,3.34,1,17.55,0,5.13,1,25.21,0,2.84,1
170,29.36,0,21.01,0,18.33,0,1.36,1,3.36,1
171,14.67,1,8.32,1,27.38,0,24.51,0,17.51,0
172,22.93,0,27.69,0,6.02,1,21.61,0,18.75,0
173,11.26,1,9.27,1,23.64,0,23.69,0,10.28,1
174,11.27,1,8.71,1,25.43,0,8.62,1,9.27,1
175,26.71,0,9.55,1,6.62,1,26.74,0,1.78,1
176,27.44,0,16.94,0,29.91,0,16.75,0,4.33,1
177,1.84,1,26.82,0,13.28,1,21.99,0,5.67,1
178,24.65,0,17.96,0,24.28,0,12.71,1,6.97,1
179,29.33,0,17.08,0,5.65,1,9.07,1,11.89,1
180,23.52,0,9.36,1,15.88,0,1.03,1,25.76,0
181,28.62,0,23.99,0,14.04,1,6.5,1,2.02,1
182,0.01,1,3.75,1,2.54,1,9.69,1,3.98,1
183,12.23,1,10.23,1,13.78,1,7.26,1,25.54,0
184,24.72,0,20.25,0,5.4,1,25.51,0,15.73,0
185,12.82,1,22.61,0,8.03,1,2.78,1,5.51,1
186,22.64,0,17.18,0,28.62,0,25.48,0,17.78,0
187,19.99,0,9.25,1,21.18,0,14.76,1,4.64,1
188,7.98,1,14.49,1,22.48,0,27.27,0,16.7,0
189,5.29,1,6.13,1,12.91,1,20.42,0,23.94,0
190,7.29,1,10.41,1,7.63,1,12.85,1,14.11,1
191,5.35,1,1.57,1,29.9,0,20.62,0,3.99,1
192,9.4,1,3.26,1,13.67,1,7.02,1,15.99,0
193,27.87,0,13.22,1,0.51,1,17.75,0,13.29,1
194,9.38,1,26.62,0,10.34,1,26.55,0,22.32,0
195,9.79,1,12.98,1,20.57,0,16.03,0,12.41,1
196,6.01,1,23.71,0,24.4,0,16.25,0,21.03,0
197,6.84,1,3.7,1,16.53,0,6.82,1,24.82,0
198,11.16,1,18.31,0,21.34,0,23.7,0,16.22,0
199,25.65,0,26.86,0,25.35,0,17.95,0,9.13,1
200,11.83,1,10.89,1,4.63,1,2.52,1,24.69,0
201,28.11,0,19.98,0,18.76,0,17.74,0,25.7,0
202,1.65,1,5.2,1,16.86,0,1.9,1,1.88,1
203,14.22,1,19.34,0,5.78,1,23.61,0,29.43,0
204,13.09,1,0.76,1,16.18,0,3.92,1,2.31,1
205,27.11,0,9.17,1,10.22,1,26.57,0,19.3,0
206,22.51,0,4.32,1,24.34,0,3.13,1,4.98,1
207,7.89,1,2.25,1,26.41,0,5.04,1,21.16,0
208,0.55,1,23.31,0,15.23,0,16.38,0,10.25,1
209,5.04,1,8.03,1,4.86,1,20.19,0,9.08,1
210,10.76,1,28.88,0,8.07,1,23.8,0,5.09,1
211,2.53,1,17.38,0,17.35,0,10.66,1,17.69,0
212,23.85,0,22.71,0,5.62,1,25.26,0,24.26,0
213,29.05,0,1.85,1,22.56,0,6.76,1,12.89,1
214,27.34,0,10.19,1,28.88,0,19.2,0,29.91,0
215,24.49,0,5.25,1,15.92,0,4.19,1,1.46,1
216,7.36,1,25.79,0,5.02,1,0.59,1,20.38,0
217,1.2,1,28.35,0,18.13,0,14.41,1,15.93,0
218,18.28,0,7.42,1,24.64,0,15.42,0,3.95,1
219,12.23,1,17.77,0,12.5,1,10.52,1,6.32,1
220,3.14,1,17.28,0,9.16,1,5.46,1,1.77,1
221,14.04,1,3.18,1,6.9,1,10.59,1,23.67,0
222,24.03,0,17.2,0,16.59,0,23.79,0,8.37,1
223,5.52,1,23.13,0,24.82,0,25.3,0,14.69,1
224,8.45,1,24.19,0,14.85,1,23.04,0,9.3,1
225,8.8,1,7.41,1,19.5,0,15.69,0,5.68,1
226,10.51,1,6.77,1,21.5,0,9.1,1,8.5,1
227,26.07,0,9.3,1,1.87,1,19.71,0,1.44,1
228,8.87,1,18.34,0,4.69,1,3.77,1,14.37,1
229,0.26,1,16.49,0,22.06,0,20.08,0,9.55,1
230,5.13,1,21.25,0,29.03,0,10.79,1,5.25,1
231,3.79,1,19.07,0,19.83,0,29.32,0,29.05,0
232,21.62,0,28.11,0,23.76,0,27.29,0,7.65,1
233,0.79,1,19.08,0,18.12,0,16.58,0,27.65,0
234,1.45,1,29.94,0,21.61,0,18.42,0,5.05,1
235,24.83,0,14.51,1,0.97,1,21.94,0,3.07,1
236,19.23,0,15.46,0,17.87,0,18.59,0,8.7,1
237,9.46,1,17.44,0,24.23,0,16.49,0,10.83,1
238,2.41,1,1.4,1,4.21,1,3.77,1,5.58,1
239,6.38,1,12.46,1,24.43,0,8.61,1,1.16,1
240,19.18,0,25.26,0,7.33,1,26.13,0,5.85,1
241,9.23,1,17.27,0,29.62,0,29.9,0,2.65,1
242,24.39,0,17.77,0,6.07,1,5.26,1,10.03,1
243,5.21,1,3.45,1,20.02,0,18.73,0,3.2,1
244,4.39,1,9.76,1,18.77,0,25.14,0,21.71,0
245,0.45,1,5.82,1,29.19,0,13.77,1,22.0,0
246,7.73,1,25.86,0,8.79,1,10.17,1,20.35,0
247,16.85,0,28.45,0,11.48,1,8.73,1,15.17,0
248,8.1,1,6.16,1,29.35,0,29.15,0,23.29,0
249,4.96,1,2.13,1,14.41,1,4.61,1,5.34,1
250,12.11,1,24.47,0,28.07,0,15.18,0,23.55,0
251,29.98,0,0.03,1,13.51,1,10.83,1,7.78,1
252,26.1,0,1.59,1,7.08,1,4.68,1,8.97,1
253,22.39,0,3.55,1,3.28,1,5.84,1,20.49,0
254,17.38,0,6.17,1,29.5,0,11.79,1,27.52,0
255,18.56,0,19.94,0,17.32,0,4.08,1,6.58,1
256,21.78,0,8.69,1,0.11,1,11.16,1,21.45,0
257,22.57,0,13.73,1,23.79,0,18.66,0,2.05,1
258,6.0,1,17.08,0,2.03,1,2.41,1,13.93,1
259,19.05,0,22.42,0,2.1,1,0.69,1,27.05,0
260,24.59,0,11.89,1,13.1,1,9.65,1,13.44,1
261,25.86,0,19.91,0,16.17,0,18.23,0,1.3,1
262,28.16,0,21.46,0,3.77,1,16.35,0,10.68,1
263,27.45,0,17.2,0,15.99,0,23.99,0,11.87,1
264,10.81,1,14.86,1,11.24,1,8.34,1,2.75,1
265,28.18,0,14.31,1,4.43,1,29.9,0,14.44,1
266,13.46,1,14.67,1,4.77,1,0.85,1,14.31,1
267,23.14,0,17.66,0,23.26,0,16.73,0,12.08,1
268,14.17,1,13.2,1,15.05,0,8.64,1,15.37,0
269,22.19,0,24.57,0,6.36,1,18.87,0,15.67,0
270,28.91,0,28.15,0,25.47,0,22.0,0,3.59,1
271,2.05,1,0.25,1,24.71,0,13.04,1,16.1,0
272,13.17,1,1.54,1,23.03,0,6.42,1,19.8,0
273,21.97,0,20.31,0,3.14,1,24.25,0,28.14,0
274,15.72,0,23.02,0,15.17,0,23.23,0,25.2,0
275,17.29,0,5.72,1,22.99,0,22.29,0,9.29,1
276,16.35,0,22.15,0,15.73,0,10.58,1,3.12,1
277,4.51,1,26.66,0,17.75,0,10.74,1,0.64,1
278,7.46,1,10.49,1,15.35,0,13.85,1,20.19,0
279,25.63,0,16.12,0,25.74,0,3.63,1,12.88,1
280,22.48,0,14.97,1,25.88,0,24.82,0,11.23,1
281,9.47,1,15.68,0,22.04,0,22.48,0,14.59,1
282,29.14,0,15.96,0,13.7,1,25.27,0,26.89,0
283,24.15,0,29.78,0,16.04,0,23.27,0,23.8,0
284,9.01,1,20.27,0,1.06,1,29.23,0,24.15,0
285,1.56,1,24.27,0,19.23,0,5.99,1,6.52,1
286,4.35,1,6.46,1,6.35,1,14.03,1,0.7,1
287,26.94,0,21.33,0,25.5,0,3.86,1,13.09,1
288,0.59,1,14.92,1,17.78,0,23.43,0,6.11,1
289,7.85,1,2.16,1,14.77,1,23.15,0,15.76,0
290,18.88,0,12.27,1,1.69,1,29.51,0,4.94,1
291,3.96,1,6.45,1,13.37,1,4.54,1,9.52,1
292,17.86,0,1.07,1,17.92,0,23.81,0,28.5,0
293,20.33,0,18.63,0,18.71,0,2.81,1,10.87,1
294,22.95,0,2.53,1,0.51,1,22.25,0,11.42,1
295,10.9,1,24.44,0,23.98,0,18.31,0,14.7,1
296,15.76,0,22.5,0,19.94,0,14.98,1,22.77,0
297,17.12,0,28.23,0,0.63,1,8.39,1,12.3,1
298,8.8,1,26.66,0,26.08,0,27.02,0,15.63,0
299,28.02,0,18.52,0,28.83,0,13.96,1,5.22,1
300,25.11,0,27.43,0,23.06,0,23.88,0,3.38,1
301,20.87,0,4.88,1,14.16,1,21.36,0,22.53,0
302,21.54,0,10.58,1,27.22,0,13.9,1,27.07,0
303,29.97,0,20.05,0,9.34,1,24.98,0,17.46,0
304,17.6,0,11.39,1,29.86,0,16.96,0,9.14,1
305,2.67,1,5.1,1,14.72,1,20.98,0,15.02,0
306,11.4,1,18.48,0,15.74,0,6.65,1,17.21,0
307,18.55,0,21.68,0,11.48,1,18.12,0,11.62,1
308,8.77,1,28.53,0,19.23,0,16.64,0,24.43,0
309,28.84,0,18.97,0,27.7,0,15.56,0,6.9,1
310,5.68,1,8.98,1,9.61,1,18.82,0,26.85,0
311,7.23,1,4.8,1,20.49,0,14.66,1,5.89,1
312,5.2,1,12.05,1,9.82,1,7.7,1,10.28,1
313,18.92,0,23.23,0,16.1,0,17.91,0,27.09,0
314,6.5,1,9.07,1,22.62,0,29.95,0,0.25,1
315,21.43,0,6.56,1,12.73,1,29.79,0,23.85,0
316,8.95,1,18.53,0,0.04,1,25.81,0,11.75,1
317,15.44,0,25.24,0,3.0,1,7.24,1,10.42,1
318,9.31,1,7.5,1,14.78,1,2.9,1,18.76,0
319,15.79,0,27.86,0,27.66,0,2.52,1,18.17,0
320,22.94,0,16.88,0,12.87,1,6.88,1,22.95,0
321,12.16,1,12.41,1,26.92,0,7.79,1,24.23,0
322,8.43,1,29.95,0,12.21,1,5.84,1,14.2,1
323,12.31,1,28.43,0,18.27,0,7.32,1,17.59,0
324,24.67,0,20.72,0,9.04,1,7.14,1,6.77,1
325,17.2,0,29.38,0,4.68,1,29.02,0,15.5,0
326,24.1,0,28.52,0,3.53,1,21.79,0,26.55,0
327,8.95,1,24.84,0,19.87,0,12.5,1,12.67,1
328,25.0,0,0.33,1,17.12,0,4.87,1,28.49,0
329,9.44,1,0.43,1,4.74,1,27.1,0,29.82,0
330,18.55,0,0.35,1,12.63,1,22.39,0,0.94,1
331,27.93,0,19.72,0,12.13,1,26.93,0,18.87,0
332,4.48,1,21.86,0,23.37,0,21.14,0,24.6,0
333,29.84,0,24.35,0,7.03,1,2.57,1,10.37,1
334,7.37,1,3.8,1,0.05,1,29.33,0,24.79,0
335,28.55,0,27.03,0,0.25,1,10.52,1,23.68,0
336,20.98,0,21.84,0,11.27,1,29.96,0,21.0,0
337,7.12,1,28.43,0,4.4,1,25.1,0,7.54,1
338,8.19,1,14.79,1,14.75,1,5.62,1,8.56,1
339,6.07,1,4.98,1,7.36,1,29.7,0,27.75,0
340,14.67,1,26.79,0,6.73,1,26.96,0,6.66,1
341,10.48,1,10.01,1,24.39,0,2.31,1,24.9,0
342,23.63,0,22.67,0,25.28,0,19.27,0,26.64,0
343,18.94,0,27.37,0,13.37,1,24.43,0,26.85,0
344,2.44,1,13.47,1,18.18,0,2.96,1,16.0,0
345,29.13,0,26.27,0,15.79,0,22.96,0,21.84,0
346,18.1,0,9.39,1,12.72,1,1.17,1,29.73,0
347,9.63,1,28.92,0,26.32,0,24.51,0,16.4,0
348,28.8,0,12.25,1,25.55,0,24.57,0,6.85,1
349,18.08,0,6.72,1,28.98,0,18.32,0,4.62,1
350,5.59,1,6.12,1,29.1,0,7.63,1,11.54,1
351,14.82,1,19.07,0,10.27,1,15.95,0,21.44,0
352,15.61,0,4.42,1,13.43,1,22.83,0,29.27,0
353,5.28,1,16.32,0,2.21,1,20.43,0,27.18,0
354,15.79,0,26.05,0,12.94,1,3.94,1,27.94,0
355,2.55,1,28.86,0,17.21,0,9.08,1,3.53,1
356,2.36,1,11.09,1,26.74,0,28.18,0,20.56,0
357,5.03,1,29.27,0,0.15,1,17.81,0,18.22,0
358,25.96,0,2.89,1,3.84,1,21.52,0,16.74,0
359,4.6,1,4.42,1,13.09,1,2.42,1,25.58,0
360,0.78,1,0.84,1,22.24,0,24.75,0,8.6,1
361,22.92,0,3.77,1,9.14,1,23.95,0,2.12,1
362,25.48,0,3.07,1,0.86,1,23.83,0,22.92,0
363,21.83,0,7.42,1,29.13,0,9.13,1,9.83,1
364,4.78,1,22.55,0,12.23,1,7.88,1,3.86,1
365,12.15,1,22.47,0,27.08,0,18.54,0,5.64,1
366,20.81,0,18.77,0,2.79,1,0.68,1,6.47,1
367,23.14,0,13.23,1,19.29,0,27.41,0,26.97,0
368,13.34,1,5.66,1,13.02,1,13.18,1,14.44,1
369,25.67,0,8.03,1,0.59,1,25.05,0,2.39,1
370,16.66,0,16.16,0,22.61,0,19.6,0,11.18,1
371,21.76,0,21.75,0,17.41,0,6.61,1,6.64,1
372,7.16,1,20.07,0,24.44,0,7.81,1,10.99,1
373,25.12,0,0.07,1,27.77,0,8.88,1,4.5,1
374,3.42,1,0.46,1,18.9,0,23.88,0,27.29,0
375,24.51,0,12.1,1,11.37,1,28.0,0,5.44,1
376,17.54,0,19.64,0,4.09,1,19.49,0,8.95,1
377,23.69,0,21.67,0,9.4,1,18.73,0,25.02,0
378,3.32,1,26.5,0,7.52,1,29.28,0,17.85,0
379,20.53,0,18.21,0,9.14,1,13.46,1,9.37,1
380,25.9,0,1.16,1,14.47,1,11.22,1,4.58,1
381,9.82,1,17.2,0,23.43,0,20.38,0,11.2,1
382,2.52,1,14.15,1,25.3,0,12.22,1,24.18,0
383,6.71,1,4.96,1,9.95,1,19.7,0,26.25,0
384,7.04,1,21.96,0,6.14,1,2.49,1,28.42,0
385,0.74,1,11.13,1,21.57,0,29.53,0,17.57,0
386,12.64,1,23.66,0,28.87,0,23.55,0,21.59,0
387,28.98,0,25.48,0,25.3,0,26.06,0,26.47,0
388,14.56,1,27.43,0,29.51,0,18.75,0,9.67,1
389,2.92,1,12.7,1,0.34,1,16.64,0,7.63,1
390,19.11,0,14.35,1,14.65,1,16.78,0,20.32,0
391,3.0,1,20.1,0,4.35,1,21.9,0,20.25,0
392,2.1,1,19.92,0,15.2,0,25.02,0,11.97,1
393,2.41,1,10.26,1,22.82,0,12.84,1,21.67,0
394,27.89,0,11.01,1,17.63,0,17.45,0,28.34,0
395,27.78,0,1.5,1,23.91,0,23.51,0,15.41,0
396,0.67,1,24.58,0,29.39,0,6.23,1,13.38,1
397,15.8,0,18.09,0,11.91,1,24.28,0,22.0,0
398,2.29,1,13.5,1,24.05,0,22.99,0,2.17,1
399,17.91,0,24.69,0,29.84,0,19.16,0,9.83,1
400,5.71,1,21.74,0,16.42,0,20.98,0,7.98,1
401,6.75,1,7.58,1,5.73,1,24.38,0,16.5,0
402,16.54,0,18.29,0,12.64,1,12.27,1,4.47,1
403,15.98,0,19.14,0,7.23,1,6.27,1,19.96,0
404,8.85,1,4.46,1,12.68,1,18.62,0,15.6,0
405,1.68,1,11.33,1,25.38,0,3.41,1,4.63,1
406,23.11,0,26.19,0,12.77,1,4.1,1,20.01,0
407,18.53,0,21.66,0,19.03,0,19.06,0,23.76,0
408,3.76,1,17.68,0,4.65,1,22.4,0,5.22,1
409,5.79,1,1.28,1,27.95,0,15.17,0,11.38,1
410,28.07,0,21.65,0,26.29,0,12.53,1,0.3,1
411,28.57,0,7.02,1,2.78,1,23.96,0,6.43,1
412,3.73,1,11.15,1,7.64,1,17.19,0,5.1,1
413,21.77,0,25.9,0,15.6,0,3.58,1,11.97,1
414,29.85,0,16.37,0,8.53,1,3.62,1,3.41,1
415,21.75,0,20.89,0,27.17,0,19.43,0,18.74,0
416,27.09,0,12.47,1,8.16,1,21.46,0,4.54,1
417,1.04,1,5.8,1,1.76,1,2.2,1,28.95,0
418,4.38,1,23.53,0,27.53,0,19.42,0,21.18,0
419,23.74,0,3.74,1,4.51,1,29.02,0,25.02,0
420,17.85,0,11.98,1,22.73,0,19.54,0,28.73,0
421,22.29,0,2.87,1,7.51,1,20.22,0,24.73,0
422,6.2,1,0.86,1,23.38,0,23.2,0,20.07,0
423,19.43,0,3.07,1,12.67,1,5.68,1,18.17,0
424,22.53,0,19.84,0,26.77,0,21.12,0,13.11,1
425,9.37,1,15.57,0,19.41,0,18.34,0,0.75,1
426,14.34,1,6.33,1,27.04,0,16.8,0,0.31,1
427,4.65,1,15.33,0,21.76,0,18.83,0,23.6,0
428,23.09,0,21.05,0,29.24,0,28.09,0,29.08,0
