student_id,Data Warehousing and Data Mining_mark,lag_Data Warehousing and Data Mining,Compiler Design_mark,lag_Compiler Design,Computer Networks_mark,lag_Computer Networks,Open Elective–I_mark,lag_Open Elective–I,Elective-I_mark,lag_Elective-I
105,26.21,0,12.78,1,13.4,1,1.65,1,14.97,1
106,2.36,1,12.14,1,1.06,1,1.39,1,4.33,1
107,17.34,0,11.3,1,15.21,0,1.83,1,27.94,0
108,26.78,0,19.06,0,24.36,0,6.03,1,22.73,0
109,14.06,1,28.44,0,21.72,0,16.04,0,12.5,1
110,17.84,0,0.92,1,6.38,1,27.72,0,4.98,1
111,11.53,1,12.79,1,21.5,0,14.7,1,12.43,1
112,3.46,1,8.59,1,26.42,0,19.87,0,0.03,1
113,25.96,0,18.13,0,17.21,0,9.25,1,27.35,0
114,4.6,1,13.19,1,12.67,1,22.97,0,11.27,1
115,8.15,1,18.99,0,10.02,1,21.82,0,2.03,1
116,28.58,0,11.9,1,18.78,0,16.77,0,5.22,1
117,1.08,1,25.85,0,26.67,0,11.05,1,25.16,0
118,20.45,0,2.81,1,3.96,1,13.96,1,25.32,0
119,17.25,0,26.0,0,14.78,1,8.44,1,10.21,1
120,10.06,1,22.39,0,4.18,1,2.1,1,24.25,0
121,8.23,1,5.75,1,1.4,1,4.13,1,4.18,1
122,14.72,1,25.24,0,24.18,0,14.79,1,2.18,1
123,19.39,0,15.63,0,25.72,0,19.19,0,20.96,0
124,2.73,1,17.13,0,2.48,1,10.83,1,2.71,1
125,2.02,1,7.53,1,6.1,1,22.2,0,9.11,1
126,29.06,0,11.42,1,2.07,1,11.01,1,13.98,1
127,6.25,1,3.27,1,7.61,1,16.63,0,12.24,1
128,15.18,0,14.06,1,13.28,1,24.57,0,26.96,0
129,2.26,1,15.38,0,1.3,1,28.67,0,14.04,1
130,24.86,0,21.37,0,24.36,0,20.41,0,10.73,1
131,1.97,1,4.45,1,26.75,0,17.92,0,16.33,0
132,7.36,1,26.31,0,4.53,1,0.34,1,8.35,1
133,29.67,0,13.33,1,0.42,1,28.51,0,0.77,1
134,11.49,1,14.61,1,27.69,0,9.72,1,28.05,0
135,1.55,1,6.7,1,9.42,1,27.38,0,0.84,1
136,2.34,1,1.35,1,22.34,0,6.31,1,1.46,1
137,13.09,1,19.4,0,4.85,1,19.06,0,19.52,0
138,28.5,0,19.8,0,10.11,1,6.95,1,21.41,0
139,19.1,0,9.25,1,8.38,1,15.21,0,27.09,0
140,19.51,0,24.04,0,11.88,1,16.99,0,26.48,0
141,2.99,1,17.19,0,10.63,1,22.84,0,14.71,1
142,13.72,1,17.68,0,9.49,1,25.45,0,12.7,1
143,12.07,1,4.26,1,11.34,1,8.26,1,9.65,1
144,29.58,0,19.88,0,2.68,1,25.04,0,10.53,1
145,13.35,1,9.57,1,28.21,0,14.22,1,1.18,1
146,24.02,0,0.65,1,6.14,1,24.98,0,2.02,1
147,25.07,0,22.44,0,8.9,1,9.51,1,1.8,1
148,28.71,0,2.61,1,26.73,0,3.0,1,26.24,0
149,18.46,0,17.28,0,8.76,1,16.83,0,19.46,0
150,19.51,0,8.15,1,6.72,1,20.5,0,17.63,0
151,2.56,1,28.2,0,24.54,0,13.9,1,17.49,0
152,4.71,1,10.43,1,21.28,0,18.92,0,6.73,1
153,4.08,1,19.74,0,28.94,0,17.2,0,29.13,0
154,27.87,0,3.58,1,16.91,0,9.93,1,3.93,1
155,24.12,0,4.96,1,1.12,1,18.45,0,28.66,0
156,2.76,1,28.59,0,28.29,0,4.17,1,14.73,1
157,1.23,1,28.02,0,3.46,1,15.48,0,0.86,1
158,26.83,0,7.28,1,24.14,0,20.03,0,20.17,0
159,4.99,1,3.06,1,14.43,1,27.32,0,13.37,1
160,10.54,1,14.26,1,19.79,0,13.71,1,3.23,1
161,29.44,0,3.61,1,29.04,0,0.25,1,17.61,0
162,0.81,1,16.78,0,8.08,1,20.82,0,3.76,1
163,20.4,0,29.75,0,26.86,0,27.49,0,17.59,0
164,2.13,1,16.9,0,8.69,1,25.75,0,9.7,1
165,5.46,1,2.91,1,11.18,1,6.05,1,11.94,1
166,27.65,0,11.27,1,14.05,1,20.22,0,17.76,0
167,7.68,1,3.48,1,21.19,0,23.82,0,9.49,1
168,2.8,1,1.18,1,26.21,0,7.34,1,25.81,0
169,12.09,1,10.38,1,14.34,1,0.49,1,22.35,0
170,21.82,0,4.02,1,16.89,0,17.79,0,3.92,1
171,29.94,0,6.72,1,22.07,0,4.34,1,25.56,0
172,2.89,1,4.79,1,5.22,1,27.03,0,2.35,1
173,19.22,0,15.0,0,8.24,1,28.39,0,12.34,1
174,6.1,1,5.57,1,0.78,1,4.59,1,13.96,1
175,7.44,1,19.54,0,0.39,1,21.24,0,28.77,0
176,20.35,0,24.87,0,22.27,0,0.81,1,5.5,1
177,14.63,1,21.28,0,2.57,1,8.72,1,3.7,1
178,26.65,0,15.64,0,20.2,0,19.99,0,27.98,0
179,2.35,1,23.28,0,5.54,1,28.79,0,27.37,0
180,5.54,1,23.4,0,14.28,1,11.32,1,24.16,0
181,10.02,1,6.03,1,9.23,1,15.25,0,2.87,1
182,20.99,0,27.52,0,27.89,0,9.1,1,23.84,0
183,10.92,1,1.51,1,27.06,0,16.51,0,2.81,1
184,2.94,1,8.86,1,26.62,0,3.35,1,27.03,0
185,8.03,1,0.05,1,25.99,0,1.63,1,17.64,0
186,15.39,0,5.55,1,25.52,0,9.16,1,27.57,0
187,19.23,0,23.27,0,18.94,0,26.0,0,10.33,1
188,25.84,0,8.47,1,11.36,1,10.71,1,12.38,1
189,28.74,0,10.13,1,28.82,0,11.47,1,15.86,0
190,28.46,0,25.11,0,20.18,0,19.61,0,7.66,1
191,2.8,1,0.26,1,3.59,1,23.17,0,24.09,0
192,23.44,0,21.64,0,17.72,0,17.17,0,7.32,1
193,27.58,0,3.96,1,9.86,1,2.25,1,25.41,0
194,28.55,0,16.23,0,29.38,0,26.15,0,6.88,1
195,7.82,1,3.22,1,21.89,0,13.78,1,13.29,1
196,10.94,1,20.67,0,4.57,1,16.08,0,23.85,0
197,29.64,0,23.27,0,17.01,0,3.35,1,16.47,0
198,11.44,1,4.84,1,21.09,0,5.12,1,29.9,0
199,16.73,0,13.59,1,2.3,1,1.42,1,14.24,1
200,27.83,0,3.37,1,9.56,1,27.87,0,6.14,1
201,23.67,0,14.15,1,19.87,0,18.44,0,20.53,0
202,25.04,0,28.24,0,13.78,1,27.15,0,3.97,1
203,20.61,0,26.74,0,25.78,0,29.6,0,11.48,1
204,29.79,0,5.44,1,5.15,1,6.22,1,8.37,1
205,26.4,0,22.36,0,0.08,1,4.27,1,11.1,1
206,11.05,1,6.33,1,23.72,0,5.93,1,17.76,0
207,13.92,1,11.13,1,10.37,1,25.56,0,21.08,0
208,11.25,1,27.87,0,5.2,1,29.67,0,17.7,0
209,3.08,1,6.08,1,22.26,0,8.89,1,0.5,1
210,14.58,1,26.66,0,18.7,0,13.7,1,12.2,1
211,20.67,0,21.83,0,4.42,1,14.1,1,6.27,1
212,5.81,1,17.76,0,21.11,0,17.11,0,8.5,1
213,14.06,1,14.5,1,28.61,0,22.36,0,28.32,0
214,17.66,0,16.98,0,10.78,1,6.0,1,19.18,0
215,12.73,1,29.47,0,26.97,0,10.35,1,19.55,0
216,11.88,1,16.06,0,1.01,1,27.89,0,7.81,1
217,9.72,1,18.18,0,21.75,0,14.28,1,6.75,1
218,15.3,0,6.11,1,15.85,0,18.93,0,14.27,1
219,9.64,1,11.86,1,0.22,1,23.36,0,26.75,0
220,18.7,0,17.33,0,16.37,0,2.89,1,15.77,0
221,15.33,0,15.57,0,24.96,0,11.92,1,26.58,0
222,19.38,0,18.33,0,14.81,1,22.08,0,19.05,0
223,1.6,1,16.31,0,21.22,0,5.02,1,29.7,0
224,19.43,0,0.08,1,6.79,1,3.62,1,10.12,1
225,27.54,0,18.49,0,8.76,1,5.16,1,16.93,0
226,29.07,0,18.88,0,13.53,1,13.31,1,17.0,0
227,15.03,0,25.28,0,4.72,1,9.29,1,1.8,1
228,26.78,0,1.24,1,7.92,1,19.36,0,14.17,1
229,13.7,1,7.07,1,0.35,1,23.32,0,4.83,1
230,3.07,1,23.83,0,24.87,0,25.52,0,7.08,1
231,2.55,1,18.16,0,19.99,0,27.01,0,15.02,0
232,22.96,0,14.32,1,21.96,0,28.83,0,27.53,0
233,14.09,1,26.14,0,3.47,1,18.16,0,1.16,1
234,2.16,1,19.94,0,29.53,0,23.88,0,21.89,0
235,8.83,1,0.68,1,4.85,1,24.73,0,15.59,0
236,28.22,0,21.8,0,10.12,1,10.62,1,8.83,1
237,5.93,1,8.53,1,2.2,1,26.38,0,7.73,1
238,13.44,1,11.23,1,9.91,1,7.77,1,18.31,0
239,11.64,1,17.17,0,0.04,1,29.19,0,21.92,0
240,27.21,0,17.91,0,19.71,0,4.63,1,18.71,0
241,0.35,1,12.69,1,5.18,1,17.65,0,28.06,0
242,10.4,1,22.66,0,26.78,0,11.61,1,5.28,1
243,10.2,1,11.79,1,6.36,1,22.82,0,24.78,0
244,23.36,0,21.32,0,13.16,1,28.61,0,6.22,1
245,29.43,0,22.69,0,7.78,1,2.78,1,7.46,1
246,7.04,1,23.8,0,20.21,0,3.74,1,21.06,0
247,19.92,0,17.54,0,15.1,0,26.49,0,4.25,1
248,9.5,1,13.29,1,19.5,0,22.05,0,7.7,1
249,8.51,1,5.64,1,0.03,1,6.9,1,10.02,1
250,16.47,0,9.16,1,25.56,0,5.71,1,23.84,0
251,4.2,1,25.63,0,29.37,0,18.72,0,29.11,0
252,10.6,1,9.1,1,18.12,0,9.04,1,21.85,0
253,8.07,1,18.58,0,14.85,1,18.08,0,18.5,0
254,28.09,0,9.0,1,9.79,1,18.75,0,12.45,1
255,12.83,1,25.51,0,15.68,0,24.02,0,10.43,1
256,22.08,0,7.97,1,23.14,0,8.73,1,21.43,0
257,21.6,0,4.24,1,12.91,1,5.79,1,1.5,1
258,8.47,1,29.89,0,16.96,0,29.99,0,26.2,0
259,1.82,1,17.05,0,4.09,1,27.59,0,10.79,1
260,11.83,1,1.75,1,22.63,0,20.6,0,21.33,0
261,12.0,1,24.9,0,23.39,0,26.76,0,17.61,0
262,13.91,1,11.41,1,21.61,0,17.37,0,28.5,0
263,26.29,0,11.02,1,5.16,1,28.53,0,23.96,0
264,26.81,0,13.6,1,24.65,0,24.79,0,26.36,0
265,11.6,1,24.36,0,29.77,0,28.69,0,6.15,1
266,15.82,0,9.39,1,27.01,0,5.25,1,8.73,1
267,27.43,0,1.19,1,24.32,0,18.98,0,8.18,1
268,0.15,1,4.31,1,16.12,0,14.51,1,16.8,0
269,23.23,0,17.72,0,11.49,1,16.32,0,29.55,0
270,29.7,0,13.9,1,22.75,0,18.56,0,3.91,1
271,25.7,0,27.91,0,23.25,0,9.69,1,16.16,0
272,28.7,0,21.22,0,29.86,0,11.52,1,17.14,0
273,12.92,1,27.98,0,2.96,1,0.49,1,16.26,0
274,7.13,1,21.94,0,21.38,0,14.5,1,0.07,1
275,28.46,0,25.71,0,1.9,1,5.68,1,15.91,0
276,9.72,1,24.62,0,7.92,1,19.68,0,11.66,1
277,25.44,0,9.7,1,23.77,0,11.34,1,14.11,1
278,7.4,1,13.35,1,27.22,0,14.35,1,3.43,1
279,10.05,1,13.98,1,8.77,1,15.4,0,12.88,1
280,21.85,0,0.52,1,2.45,1,12.29,1,4.68,1
281,19.02,0,11.54,1,16.51,0,2.2,1,4.45,1
282,4.68,1,7.88,1,4.97,1,5.84,1,21.21,0
283,25.74,0,7.28,1,27.46,0,11.27,1,21.05,0
284,7.38,1,16.6,0,29.52,0,24.23,0,13.77,1
285,25.83,0,5.11,1,16.03,0,22.27,0,2.5,1
286,21.5,0,23.69,0,1.32,1,17.53,0,4.61,1
287,0.08,1,27.37,0,12.4,1,29.92,0,12.74,1
288,16.24,0,29.73,0,14.17,1,22.24,0,29.6,0
289,23.19,0,26.77,0,22.83,0,1.66,1,15.39,0
290,8.16,1,19.49,0,16.38,0,13.7,1,29.16,0
291,3.38,1,5.66,1,29.68,0,19.58,0,24.99,0
292,11.29,1,3.9,1,5.13,1,17.9,0,24.16,0
293,8.54,1,28.27,0,21.38,0,22.41,0,28.82,0
294,10.57,1,19.0,0,16.32,0,13.24,1,19.82,0
295,11.29,1,23.26,0,22.63,0,25.33,0,24.68,0
296,10.93,1,29.83,0,26.87,0,4.5,1,15.31,0
297,27.67,0,5.81,1,21.83,0,18.34,0,20.92,0
298,16.85,0,20.76,0,3.35,1,24.79,0,20.54,0
299,15.63,0,0.96,1,11.19,1,20.79,0,8.93,1
300,27.74,0,29.47,0,7.63,1,9.1,1,14.31,1
301,6.7,1,17.4,0,13.91,1,14.07,1,26.66,0
302,8.21,1,4.84,1,12.65,1,29.3,0,0.48,1
303,11.32,1,26.73,0,24.99,0,14.02,1,2.93,1
304,13.86,1,11.68,1,28.22,0,12.58,1,3.96,1
305,23.8,0,9.31,1,22.97,0,23.06,0,0.64,1
306,24.69,0,8.0,1,29.4,0,10.85,1,26.14,0
307,9.95,1,21.15,0,28.38,0,12.2,1,16.96,0
308,24.53,0,27.4,0,9.04,1,4.85,1,10.55,1
309,18.21,0,3.5,1,11.99,1,18.08,0,8.85,1
310,20.78,0,9.93,1,6.68,1,29.58,0,24.19,0
311,9.75,1,12.88,1,0.18,1,9.75,1,20.01,0
312,5.88,1,5.12,1,26.05,0,9.98,1,16.39,0
313,5.72,1,16.65,0,23.1,0,16.83,0,20.64,0
314,24.41,0,13.91,1,6.16,1,14.2,1,18.32,0
315,19.66,0,5.73,1,15.37,0,20.88,0,10.06,1
316,26.18,0,11.85,1,7.48,1,3.91,1,6.67,1
317,28.99,0,27.32,0,10.01,1,28.67,0,25.19,0
318,15.86,0,2.6,1,6.69,1,21.51,0,18.19,0
319,18.65,0,11.16,1,9.48,1,20.96,0,10.62,1
320,13.67,1,23.03,0,10.65,1,16.75,0,12.92,1
321,6.25,1,16.65,0,2.9,1,18.52,0,11.44,1
322,17.58,0,27.8,0,11.21,1,20.93,0,3.74,1
323,20.53,0,20.53,0,14.54,1,24.05,0,12.52,1
324,18.41,0,0.01,1,19.38,0,1.68,1,18.85,0
325,24.3,0,29.81,0,26.95,0,9.88,1,27.77,0
326,22.55,0,17.9,0,16.04,0,3.4,1,0.12,1
327,16.29,0,9.38,1,17.05,0,22.23,0,0.4,1
328,24.3,0,21.9,0,11.69,1,22.22,0,20.15,0
329,0.09,1,6.49,1,8.39,1,26.25,0,11.66,1
330,23.21,0,0.18,1,18.96,0,6.24,1,29.96,0
331,2.6,1,29.0,0,21.42,0,10.1,1,3.54,1
332,24.42,0,22.51,0,4.22,1,29.14,0,14.8,1
333,21.19,0,14.67,1,13.0,1,22.7,0,3.71,1
334,2.92,1,15.41,0,17.14,0,26.12,0,1.22,1
335,7.55,1,18.14,0,14.53,1,22.62,0,13.24,1
336,15.74,0,1.97,1,9.47,1,5.53,1,28.54,0
337,4.72,1,5.37,1,12.21,1,3.84,1,8.93,1
338,8.64,1,1.61,1,26.69,0,12.8,1,26.9,0
339,23.19,0,1.58,1,7.3,1,20.72,0,26.01,0
340,21.46,0,28.11,0,4.89,1,7.38,1,29.69,0
341,19.86,0,12.94,1,26.72,0,15.08,0,3.48,1
342,16.0,0,28.17,0,24.9,0,23.82,0,22.63,0
343,25.54,0,21.9,0,21.2,0,13.78,1,1.42,1
344,4.88,1,18.7,0,27.76,0,1.9,1,7.08,1
345,1.52,1,7.36,1,7.03,1,9.57,1,22.86,0
346,12.26,1,16.46,0,21.12,0,7.17,1,3.3,1
347,11.83,1,28.95,0,22.25,0,12.95,1,24.82,0
348,7.24,1,25.15,0,12.93,1,16.07,0,4.18,1
349,15.94,0,26.36,0,0.77,1,28.68,0,20.18,0
350,2.16,1,25.68,0,3.78,1,9.31,1,27.5,0
351,26.0,0,3.8,1,4.74,1,3.54,1,29.38,0
352,10.99,1,27.23,0,14.72,1,13.75,1,22.64,0
353,18.2,0,29.18,0,8.33,1,10.2,1,21.14,0
354,4.43,1,10.9,1,19.03,0,5.98,1,29.0,0
355,13.79,1,29.45,0,17.93,0,10.33,1,5.62,1
356,12.27,1,7.68,1,27.46,0,21.19,0,6.21,1
357,2.97,1,10.89,1,24.56,0,1.35,1,10.96,1
358,23.22,0,4.63,1,9.94,1,0.69,1,10.4,1
359,27.08,0,7.34,1,23.4,0,22.13,0,20.47,0
360,15.83,0,29.66,0,0.7,1,28.72,0,18.41,0
361,12.94,1,23.6,0,19.22,0,13.19,1,15.56,0
362,12.87,1,4.51,1,25.56,0,21.43,0,14.36,1
363,3.82,1,0.96,1,13.03,1,3.66,1,7.02,1
364,29.97,0,24.02,0,8.26,1,15.46,0,4.98,1
365,2.05,1,6.66,1,19.71,0,10.47,1,2.24,1
366,2.02,1,23.82,0,4.07,1,28.17,0,22.15,0
367,12.23,1,4.08,1,7.15,1,12.71,1,9.05,1
368,24.33,0,8.2,1,8.45,1,13.61,1,16.13,0
369,19.6,0,25.33,0,13.27,1,20.55,0,9.34,1
370,27.8,0,22.48,0,7.5,1,12.0,1,4.51,1
371,17.77,0,12.93,1,0.96,1,11.68,1,0.2,1
372,18.21,0,8.87,1,27.55,0,23.53,0,28.68,0
373,23.29,0,24.49,0,26.98,0,16.71,0,5.22,1
374,18.73,0,15.21,0,21.97,0,28.88,0,23.39,0
375,14.28,1,7.45,1,15.18,0,9.76,1,12.76,1
376,24.4,0,19.91,0,11.45,1,1.7,1,5.99,1
377,2.82,1,2.48,1,15.65,0,13.61,1,29.95,0
378,29.0,0,6.53,1,5.33,1,19.5,0,6.52,1
379,20.84,0,19.42,0,29.21,0,22.31,0,10.44,1
380,15.93,0,2.09,1,28.68,0,21.07,0,24.65,0
381,6.81,1,15.17,0,21.13,0,27.83,0,20.13,0
382,21.69,0,29.32,0,27.7,0,24.53,0,28.0,0
383,20.34,0,23.48,0,2.23,1,1.89,1,26.87,0
384,1.28,1,16.07,0,5.22,1,6.71,1,16.64,0
385,0.05,1,13.06,1,21.2,0,22.59,0,21.2,0
386,16.36,0,14.3,1,9.24,1,16.8,0,27.82,0
387,15.9,0,18.32,0,15.43,0,4.68,1,24.99,0
388,4.06,1,25.91,0,17.62,0,0.94,1,14.72,1
389,1.39,1,11.52,1,3.3,1,7.83,1,9.2,1
390,29.16,0,16.73,0,21.2,0,9.58,1,28.57,0
391,13.72,1,13.56,1,15.13,0,15.84,0,7.4,1
392,1.64,1,3.52,1,8.84,1,10.7,1,24.69,0
393,29.12,0,2.53,1,2.02,1,11.06,1,18.79,0
394,2.61,1,1.94,1,5.06,1,5.25,1,1.9,1
395,4.23,1,2.59,1,1.94,1,21.29,0,3.92,1
396,16.57,0,21.83,0,20.06,0,22.5,0,14.15,1
397,5.56,1,19.65,0,13.9,1,24.51,0,12.37,1
398,20.18,0,11.21,1,13.66,1,1.1,1,3.64,1
399,16.27,0,27.68,0,8.44,1,7.24,1,11.43,1
400,13.33,1,10.28,1,1.99,1,19.14,0,0.71,1
401,17.84,0,15.45,0,12.85,1,26.54,0,26.95,0
402,9.55,1,5.12,1,23.69,0,1.24,1,12.56,1
403,5.06,1,27.43,0,25.53,0,22.5,0,26.97,0
404,23.83,0,13.75,1,15.67,0,15.25,0,17.5,0
405,27.87,0,29.2,0,15.05,0,4.97,1,22.68,0
406,20.97,0,5.76,1,29.24,0,10.98,1,22.54,0
407,3.93,1,24.83,0,17.39,0,23.11,0,2.43,1
408,12.65,1,18.77,0,14.81,1,13.96,1,19.89,0
409,10.86,1,29.93,0,3.39,1,3.14,1,0.15,1
410,19.53,0,27.92,0,24.4,0,2.11,1,28.37,0
411,17.84,0,5.5,1,15.1,0,14.41,1,29.38,0
412,1.42,1,17.6,0,8.89,1,16.87,0,29.16,0
413,1.51,1,23.35,0,23.82,0,8.27,1,10.4,1
414,5.72,1,0.04,1,17.72,0,5.39,1,23.22,0
415,8.93,1,8.48,1,18.78,0,7.75,1,10.31,1
416,18.85,0,3.44,1,5.16,1,13.76,1,5.62,1
417,24.41,0,10.99,1,11.37,1,23.29,0,7.08,1
418,0.7,1,13.58,1,7.9,1,5.73,1,4.25,1
419,1.07,1,17.58,0,13.79,1,0.55,1,11.13,1
420,2.98,1,19.23,0,16.85,0,7.51,1,4.89,1
421,3.53,1,8.99,1,8.32,1,24.94,0,16.51,0
422,21.29,0,9.17,1,1.28,1,27.04,0,17.43,0
423,14.14,1,23.34,0,10.92,1,21.47,0,18.53,0
424,24.34,0,14.07,1,26.81,0,0.91,1,9.51,1
425,6.35,1,24.59,0,7.83,1,16.69,0,5.04,1
426,18.56,0,5.94,1,16.74,0,7.95,1,20.2,0
427,27.83,0,8.09,1,4.43,1,25.62,0,25.03,0
428,18.89,0,5.03,1,15.09,0,2.32,1,17.14,0
429,3.73,1,19.16,0,15.02,0,0.41,1,6.44,1
430,3.61,1,4.43,1,18.52,0,14.74,1,15.59,0
